SMOC1|Q9H4F8-2
PIN1|Q13526
PPIP5K2|A0A087WZV0
CAPZB|P47756
MGLL|A0A0C4DFN3
OPA1|O60313-2
RABEP1|Q15276
TNS3|Q68CZ2
BAG5|Q9UL15-2
CHERP|J3QK89
ALCAM|Q13740
TJP1|G3V1L9
PHACTR1|Q9C0D0
GRIA3|P42263-2
NME8|Q8N427
PPFIA4|B1APN9
PSMA7|O14818
PDCD6IP|Q8WUM4
NDUFAB1|O14561
ALCAM|Q13740-2
VAPB|O95292
KIAA0513|O60268
AP1B1|Q10567
GLOD4|F6TLX2
EPB41L3|A0A0A0MRA8
NEGR1|Q7Z3B1
NDUFB8|O95169
GK|P32189
ATAD3B|Q5T9A4
TMEM143|Q96AN5
PSAP|C9JIZ6
NDUFA7|O95182
PLXDC2|Q6UX71
CACNA2D1|P54289-2
EPB41L3|Q9Y2J2-4
PTPRD|P23468-4
GMPPA|Q96IJ6
RAB31|Q13636
AP2S1|M0QYZ2
PDHX|O00330
SLC25A11|Q02978
GMPPA|Q96IJ6-2
RAB3GAP2|Q9H2M9
ABHD16A|O95870
FARSB|Q9NSD9
ITPKA|P23677
SYT7|F5H126
PGLS|O95336
DMXL2|Q8TDJ6-3
CD99|A0A096LP69
TJP2|Q9UDY2-7
FLNC|Q14315
GTF2I|P78347
POFUT1|Q9H488
LOC728763|H7C117
SLC8A1|P32418-5
AP2A1|O95782
MCU|Q8NE86
SNX32|Q86XE0
ERLIN2|O94905
TJP2|Q9UDY2
PTPRF|H0Y7Z9
KIF21A|Q7Z4S6
RTN3|O95197
GLS|O94925
GLS|O94925-3
COX18|B7ZL88
ATP2B3|Q16720
PIP4K2B|P78356
OGDHL|Q9ULD0
PMPCB|O75439
NDUFV1|P49821
PAICS|P22234-2
SLC25A6|P12236
SLC8A1|P32418
DLGAP1|O14490-5
CEP170B|Q9Y4F5-2
ILK|A0A0A0MTH3
RPL7|P18124
PHKG1|Q16816-2
DGKG|P49619
CSDE1|O75534-4
HCN1|O60741
MRPS36|P82909
ITSN2|Q9NZM3-4
HIST1H2BL|Q99880
ISYNA1|Q9NPH2
GRM3|Q14832
SPTBN4|Q9H254-3
SMU1|Q2TAY7
OLFM2|K7EKW2
SLC25A12|O75746
PAICS|P22234
PRKAB1|Q9Y478
NDUFV2|E7EPT4
SLC25A22|Q9H936
HIST1H2BN|U3KQK0
SUCLG1|P53597
ACOT7|K7EKP8
DLG1|Q12959-9
NDUFA5|Q16718
PTBP1|P26599-3
LGALS3|P17931
FERMT1|Q9BQL6
NOGENE|E7ENQ6
RAB35|Q15286
MAPK3|P27361
DOCK3|Q8IZD9
ADCY1|Q08828
CDC42|P60953-1
RUVBL2|Q9Y230
OGFRL1|Q5TC84
DNAJC19|Q96DA6
EPB41L2|H0Y5B0
KCNH1|O95259
GMPS|P49915
MEGF9|Q9H1U4
FLNB|O75369
ATP2B1|P20020
OGDH|E9PCR7
S100A16|Q96FQ6
ANK2|D6R9U4
FLNB|O75369-8
DNM1|Q05193-2
PLEKHA1|Q5RGS4
RAB3GAP1|Q15042
ATP6V1A|P38606
PMPCB|G3V0E4
ATP2B1|P20020-2
ATP2B1|P20020-4
LETM1|O95202
DKK3|F6SYF8
RAB3GAP1|Q15042-3
VDAC3|Q9Y277-2
S100A1|Q5T7Y6
EFR3B|Q9Y2G0
PLCB1|Q9NQ66
HSDL2|Q6YN16
FDX1L|Q6P4F2
MT-ND1|P03886
COX7C|P15954
KALRN|J3QSW6
RPL35A|P18077
SPON1|Q9HCB6
GALM|Q96C23
RBM14|Q96PK6
LTA4H|P09960
BAIAP2|I3L3C6
WASL|O00401
KALRN|H7BXZ5
WBP2|Q969T9
CPLX1|O14810
EPHA3|P29320
PGM3|D6RIS6
NDUFV3|P56181
C1QC|P02747
RAB1A|P62820
TUFM|P49411
LCP1|P13796
TAGLN3|Q9UI15
SMYD5|Q6GMV2
FGF12|P61328
KIAA1468|Q9P260-2
TPPP3|Q9BW30
RALA|P11233
MTX3|Q5HYI7
TAOK1|Q7L7X3
TAC3|Q9UHF0-2
GGA3|Q9NZ52
EPN1|Q9Y6I3
LRRC4B|Q9NT99
PRKCE|Q02156
CSNK1A1|P48729-3
CS|F8VWQ5
DLG4|P78352-2
HMGN1|P05114
RPL32|F8W727
ABHD12|Q8N2K0-2
SNX30|Q5VWJ9
TPD52|P55327-5
AP2A2|O94973
TNS1|Q9HBL0
TPBG|Q13641
LRFN2|Q9ULH4
DPYSL3|Q14195-2
SAMD9L|Q8IVG5
ITGA6|P23229
MAVS|Q7Z434
PFKP|Q01813
BRAF|P15056
ITSN2|Q9NZM3
NDEL1|Q9GZM8-2
SMAP1|Q8IYB5
PPIA|P62937
TKT|A0A0B4J1R6
ETF1|P62495
CCT5|P48643
EPN1|Q9Y6I3-1
OGDH|E9PDF2
TANC2|Q9HCD6-2
NAGK|Q9UJ70-2
SYT1|P21579
FSD1|Q9BTV5
CRIP2|P52943-2
TPD52|P55327-4
HIST3H2BB|Q8N257
PGM3|O95394-4
PTPRF|P10586
CAPN2|P17655
PDP1|Q9P0J1-2
NOGENE|H0YC42
C2CD2L|O14523
AIP|O00170
TPM3|J3KN67
APCS|P02743
PPP1R16B|Q96T49
HIST2H2AB|Q8IUE6
CD151|P48509
PPP1R12A|O14974
TKT|P29401-2
RUVBL1|Q9Y265
RAB18|Q9NP72
C2CD2L|O14523-2
TPD52|P55327-6
ANXA4|P09525
LIN7C|Q9NUP9
PIP4K2C|Q8TBX8
PMPCB|F8WAZ6
ASPH|Q12797-7
NSF|K7EQD6
CRIP2|P52943
PPFIA3|O75145
SEC24A|O95486
PALLD|Q8WX93
SNAP25|P60880-2
NDUFA4|O00483
PSMA5|P28066
CNTN1|Q12860
LZIC|Q8WZA0-2
EXOSC7|Q15024
PAK2|Q13177
NPEPL1|Q8NDH3
PLEKHA1|Q9HB21
MADD|Q8WXG6
NDUFA12|Q9UI09
IGLON5|A6NGN9
DLG1|Q12959-7
PRKG1|Q13976
HDGF|P51858
LRRFIP1|Q32MZ4-4
LSM12|Q3MHD2-2
COPRS|Q9NQ92
RHEB|Q15382
EML6|Q6ZMW3
PGAM2|P15259
PPT1|Q5T0S4
ATP1B1|P05026
NDUFA13|Q9P0J0-2
NDUFA13|Q9P0J0
COA7|Q96BR5
FAM49B|Q9NUQ9
SLC25A5|P05141
ZFR|Q96KR1
PPIA|P62937-2
TMEM70|Q9BUB7
AP2S1|M0QZ21
MAP4|P27816
VDAC2|P45880-1
SLC6A9|P48067-2
BCL2L2|Q92843
FAM171A2|A8MVW0
MADD|Q8WXG6-7
ACTR3B|Q9P1U1
MAP4|E7EVA0
TST|Q16762
PDE4A|P27815-7
DLG1|Q12959-3
FAM107A|O95990-4
PPM1H|Q9ULR3
TMA7|Q9Y2S6
ITGB4|P16144
TUBB2B|Q9BVA1
SYNGR1|O43759
SHC3|Q92529
SLC6A9|P48067
SAMD14|Q8IZD0-2
LRPPRC|P42704
WIPF3|A0A0A0MSG0
TUBB3|Q13509
NDUFB4|O95168
NAPB|Q9H115
IDH3A|P50213
LGI4|Q8N135
PCBD1|P61457
CS|H0YIC4
ITGB4|P16144-3
ATP6V1D|Q9Y5K8
PCDH8|O95206
PPEF1|O14829
STX2|P32856
WIPF3|A6NGB9
FAM210A|Q96ND0
PCDH1|Q08174-2
VAPA|Q9P0L0-2
SEPT6|Q14141
GFAP|K7EJU1
SYNGAP1|Q96PV0-2
IGSF8|Q969P0
BRSK2|Q8IWQ3-4
UCHL1|P09936
ATL2|Q8NHH9-2
DMD|P11532-5
WASF1|Q92558
FAM131B|Q86XD5-3
TOMM5|Q8N4H5
GDAP1|Q8TB36
HSPA4L|O95757
NSFL1C|Q9UNZ2-5
ATL2|Q8NHH9
BACE1|P56817
PBLD|P30039
LMNA|P02545-2
HLA-A|Q5SRN5
PPP1R7|Q15435-2
POLR2J2|A6NFM0
CD47|Q08722
SLC30A3|Q99726
SLC2A3|P11169
UBXN6|Q9BZV1
DMD|P11532-6
TPP1|O14773
ZNF207|X6R4W8
OSBPL6|Q9BZF3-2
LUC7L3|J3KPP4
TOMM5|F8W8Z9
NCEH1|Q6PIU2
LSM12|K7ELG9
NDUFA1|O15239
SYNGAP1|Q96PV0
POLR2J3|E2QRJ6
DNAJC11|Q9NVH1
HADHA|P40939
LMNA|P02545
OSBPL6|Q9BZF3-5
BSN|Q9UPA5
CCDC177|Q9NQR7
CDH9|Q9ULB4
PCYT1A|C9JEJ2
CHCHD3|F8WAR4
ATL2|Q8NHH9-4
DYNC1LI1|Q9Y6G9
PCYT1A|P49585
ITGAV|P06756
COPB2|P35606
NCS1|P62166
ASTN1|O14525
PSMD10|O75832
STAT6|P42226
BAI2|O60241-2
BAI2|O60241
ICA1|Q05084-2
DLGAP2|Q9P1A6
FBXO44|B7Z1P2
CHCHD3|C9JRZ6
SMC1A|Q14683
RAB2A|P61019
UFC1|Q9Y3C8
TACC2|O95359
CRK|P46108
CADPS2|F8W8P5
RPL6|Q02878
FLT1|P17948
DNM3|Q9UQ16-3
ASAP1|Q9ULH1-2
ISCU|Q9H1K1
GLUD1|P00367
UBE2V2|Q15819
RPL27A|P46776
CLTC|Q00610
NDUFA6|P56556
RARRES2|Q99969
CASKIN1|Q8WXD9
LRRC59|Q96AG4
EPB41L2|E9PN54
VDAC1|P21796
WARS|P23381
TMEM74B|Q9NUR3
CBLN4|Q9NTU7
C1orf123|Q9NWV4
ICA1|Q05084
NDUFS4|O43181
WDR1|O75083
MAP7D1|Q3KQU3
SNAP91|O60641
ATP1A1|P05023
CYTH3|O43739
FHL1|Q13642-4
MFF|Q9GZY8-2
SYN3|O14994
MPZ|P25189-2
SLC25A27|O95847
PPP2CB|P62714
SLC12A4|Q9UP95-7
SMPD3|Q9NY59
ISOC1|Q96CN7
DCLK1|O15075
ACTN4|H7C144
NCEH1|A0A0A0MTJ9
SPP1|P10451-5
IL1RAPL1|Q9NZN1
DLGAP1|O14490
GPD1L|Q8N335
C1orf198|Q9H425
DSTN|P60981
GSK3A|P49840
ARF5|P84085
RFTN2|Q52LD8
CLTC|A0A087WVQ6
CTSZ|Q9UBR2
ABLIM2|Q6H8Q1-6
PGAM5|Q96HS1
VAPA|Q9P0L0
SVOP|Q8N4V2
TLN1|Q9Y490
SRI|E9PG82
TOMM20|Q15388
DLGAP3|O95886
NUMB|P49757
SMAP2|Q8WU79
RAB15|P59190
SMAP|O00193
LRRC73|Q5JTD7
CORO2B|Q9UQ03
TPP2|P29144
UTRN|P46939
TPP2|Q5VZU9
AGRN|O00468-3
TRAPPC4|Q9Y296
CLIC1|O00299
UTRN|P46939-2
CDH8|P55286
MTX2|O75431
AGRN|O00468
GAB1|Q13480-2
STRADA|Q7RTN6
WAC|Q9BTA9
PDS5B|Q9NTI5
GBP5|Q96PP8
GRPEL1|Q9HAV7
ATP2A1|O14983
SH3PXD2A|Q5TCZ1
MCTP1|Q6DN14
MYO5A|F8W6H6
DLG3|Q92796
TUBB1|Q9H4B7
COX5A|P20674
CAST|P20810-6
HMGA1|P17096-2
BDH1|Q02338
MYO5A|Q9Y4I1
PPP1R7|Q15435
ANK2|E9PHW9
FERMT3|Q86UX7
GABRB2|P47870-1
ACIN1|Q9UKV3-5
AGRN|O00468-6
WFS1|O76024
LSP1|P33241-3
RAPGEF2|Q9Y4G8
DTNA|Q9Y4J8-5
GAPDH|P04406-2
ABLIM2|Q6H8Q1-9
SHISA7|A6NL88
LUC7L2|Q9Y383
CTHRC1|Q96CG8
WNK2|Q9Y3S1
SDC2|P34741
SCN1B|Q07699
TUBB3|A0A0B4J269
ACIN1|Q9UKV3
CABP1|Q9NZU7
ITGAX|H3BN02
APOL2|J3KQL8
IDH3A|P50213-2
DYNC1I1|O14576-2
ANKS1B|Q7Z6G8
UNC13A|H7BXE5
DLG3|Q5JUW8
NUTF2|P61970
GSTM2|P28161
GABRB2|P47870
AKAP5|P24588
PLXNA3|P51805
PPP3CA|Q08209-2
NEDD4L|Q96PU5-5
OLFM2|O95897
HRAS|P01112
SCCPDH|Q8NBX0
AGRN|O00468-7
GBE1|Q04446
AQP4|P55087
C11orf68|Q9H3H3-2
EML3|Q32P44-2
UNC13A|F8W059
EML3|B7WPE2
ITGB5|P18084
C11orf68|Q9H3H3-3
HSPA13|P48723
ACIN1|E7EQT4
NDRG2|G3V358
PTGR2|Q8N8N7
EML2|O95834-3
APPL2|Q8NEU8-3
IFT27|Q9BW83
RPL36A|J3KQN4
PSMB10|P40306
AIFM1|O95831
CAMK1D|Q8IU85
EPHX4|Q8IUS5
PHB|P35232
VTA1|Q9NP79
QKI|Q96PU8-3
SNAP25|P60880
RENBP|P51606
NEDD4L|Q96PU5
PRKCB|P05771-2
GPT|P24298
CAMK1D|Q8IU85-2
ATP2A2|P16615
LONP1|P36776
PRKAB2|O43741
LANCL2|Q9NS86
NCALD|E5RIA5
CHMP4A|Q9BY43-2
PSMD9|O00233
STRAP|Q9Y3F4-2
TPD52L1|E9PNQ9
ARCN1|B0YIW6
ANXA1|P04083
HGF|P14210
PCNP|Q8WW12
MICU1|F6XEV2
RFTN1|Q14699
LDHA|P00338-3
TMX4|Q9H1E5
SLC8A2|Q9UPR5
ARHGDIA|J3QQX2
SAMD14|J3KN99
VAT1|Q99536
HECW2|Q9P2P5
USP15|Q9Y4E8
MRVI1|Q9Y6F6-7
MAP1B|D6RA40
WIPF2|Q8TF74
SAMHD1|Q9Y3Z3
GSTM2|F6XZQ7
CLTB|P09497-2
WDR7|Q9Y4E6
RTN4|Q9NQC3-3
DAG1|Q14118
SCN1B|Q07699-2
USP15|Q9Y4E8-3
PLIN3|O60664
QKI|Q96PU8
MAP7D1|Q3KQU3-4
CACNG3|O60359
EVI5L|Q96CN4-2
SORBS3|O60504
C7orf55|Q96HJ9-2
DOCK2|Q92608
TTC9B|Q8N6N2
TBCC|Q15814
HNMT|P50135
STK11|Q15831
FAM185A|Q8N0U4
TTC19|Q6DKK2
RUFY2|Q8WXA3
PLXNB2|O15031
ASNS|P08243
TBC1D8B|Q0IIM8
RALGAPA2|Q2PPJ7
RBCK1|Q9BYM8
NEBL|F6TRT2
NEBL|O76041-2
SCN2B|O60939
DCPS|Q96C86
NUMBL|Q9Y6R0
COX5A|H3BNX8
ARHGDIA|P52565
ATP6V1C1|P21283
PRKACA|P17612
HYOU1|Q9Y4L1
GPR158|Q5T848
TPD52L1|Q16890
SPTAN1|Q13813-3
IGBP1|P78318
TTC9|Q92623
TPD52L1|J3KNE7
DGKZ|Q13574-5
CORO1C|Q9ULV4-3
LONP1|P36776-3
CNN3|Q15417
DPYSL4|O14531
SPIRE2|Q8WWL2
TPT1|A0A0B4J2C3
HERC1|Q15751
GDPD1|Q8N9F7
ALDH9A1|P49189
BAG3|C9JFK9
SCAI|Q8N9R8-2
IQGAP2|Q13576
NCOA7|Q8NI08-2
PI16|Q6UXB8
ACSS3|Q9H6R3
LARP1|Q6PKG0
PTPN5|P54829
MAP4K3|Q8IVH8-3
MDH2|P40926
MPST|P25325-2
TPD52|H0YC44
TOMM22|Q9NS69
DLG1|Q12959-2
SPP1|P10451-2
ATP6V0A1|Q93050-3
DLGAP4|Q9Y2H0-1
AGT|P01019
AHSP|Q9NZD4
SCAMP5|Q8TAC9-2
ATP6V0A1|Q93050
SLC24A2|Q9UI40
ITPKB|P27987
STRN|O43815
AKR1B1|P15121
SLC20A2|Q08357
MAPK1|P28482
RNMT|O43148-2
PLEKHO2|Q8TD55
FBXO44|Q9H4M3-2
DLG1|Q12959-4
GLYR1|K7EQB2
NINJ1|Q92982
TTL|Q8NG68
CHCHD6|J3QTA6
MAP4K3|Q8IVH8
ATP5G2|Q06055-2
IARS|P41252
DYNC1I1|O14576
APPL2|Q8NEU8
HSPB2|Q16082
CDK14|O94921
SNTB1|Q13884
DNAJC5|Q9H3Z4
PALM2|Q8IXS6-2
IGHV3OR16-12|A0A075B7B8
HPCA|P84074
NUMA1|Q14980
GRIPAP1|A0A075B793
PCID2|Q5JVF3-4
ACY1|Q03154
CAT|P04040
SCRN3|Q0VDG4
EPS15|P42566
MAGI3|Q5TCQ9-4
TUBB3|G3V542
CDH2|P19022
MTX1|A0A0A0MRK6
COX7A2|H0UI06
MAOB|P27338
MAST1|Q9Y2H9
SV2B|Q7L1I2
PSMB1|P20618
DFFA|O00273
DBN1|Q16643-3
ARHGAP5|Q13017
RPL21|P46778
OPLAH|O14841
SPECC1L|Q69YQ0
SUCLG2|Q96I99
NDUFC1|O43677
H2AFZ|P0C0S5
CNDP2|Q96KP4
KIAA0196|Q12768
TRIP6|Q15654
AASS|Q9UDR5
LSM14A|Q8ND56
YWHAG|P61981
GRIPAP1|Q4V328
ENO3|K7EKN2
EPB41L2|E9PHY5
CLTB|P09497
PARVA|J3KNQ4
EPB41|P11171
S100B|P04271
SLITRK5|O94991
ADCYAP1R1|E9PFU5
PLXNA2|O75051
LYRM4|Q9HD34
