"CSF-PR / CSF GLYCO MIXED-MODE / Proteins / "
"","PI","Accession","Other Protein(s)","Description","CHROMOSOME","Gene Name","Coverage(%)","Non Enzymatic Peptides","#Peptides","#Spectra","NSAF","RANK (NSAF)","MW","Confidence","Spectrum Lower Range","Spectrum Upper Range","Peptide Lower Range","Peptide Upper Range","Validated"
59.00,"SINGLE PROTEIN","Q08380",""," Galectin-3-binding protein (LG3BP_HUMAN)","17","LGALS3BP",16.58,"true",11.00,36.00,0.03,87.00,65.29,100.00,,,,,"true"
60.00,"SINGLE PROTEIN","P02748",""," Complement component C9 (CO9_HUMAN)","5","C9",20.21,"true",11.00,36.00,0.03,74.00,63.13,100.00,,,,,"true"
61.00,"SINGLE PROTEIN","Q07954",""," Prolow-density lipoprotein receptor-related protein 1 (LRP1_HUMAN)","12","LRP1",2.84,"false",11.00,22.00,0.00,647.00,504.28,100.00,,,,,"true"
62.00,"SINGLE PROTEIN","P10451",""," Osteopontin (OSTP_HUMAN)","4","SPP1",33.76,"true",11.00,41.00,0.07,35.00,35.40,100.00,,,,,"true"
63.00,"SINGLE PROTEIN","P00747",""," Plasminogen (PLMN_HUMAN)","6","PLG",13.70,"true",11.00,53.00,0.03,68.00,90.51,100.00,,,,,"true"
64.00,"SINGLE PROTEIN","P00736",""," Complement C1r subcomponent (C1R_HUMAN)","12","C1R",23.97,"false",11.00,29.00,0.02,141.00,80.07,100.00,,,,,"true"
65.00,"SINGLE PROTEIN","Q12805",""," EGF-containing fibulin-like extracellular matrix protein 1 (FBLN3_HUMAN)","2","EFEMP1",23.94,"true",10.00,49.00,0.08,29.00,54.60,100.00,,,,,"true"
66.00,"SINGLE PROTEIN","O94856",""," Neurofascin (NFASC_HUMAN)","1","NFASC",8.76,"true",10.00,21.00,0.01,302.00,149.93,100.00,,,,,"true"
67.00,"SINGLE PROTEIN","Q13822",""," Ectonucleotide pyrophosphatase/phosphodiesterase family member 2 (ENPP2_HUMAN)","8","ENPP2",14.83,"true",10.00,48.00,0.03,67.00,98.93,100.00,,,,,"true"
68.00,"SINGLE PROTEIN","O15031",""," Plexin-B2 (PLXB2_HUMAN)","22","PLXNB2",7.07,"true",10.00,23.00,0.00,354.00,205.00,100.00,,,,,"true"
69.00,"SINGLE PROTEIN","P36955",""," Pigment epithelium-derived factor (PEDF_HUMAN)","17","SERPINF1",34.69,"true",10.00,53.00,0.07,34.00,46.28,100.00,,,,,"true"
70.00,"SINGLE PROTEIN","P09871",""," Complement C1s subcomponent (C1S_HUMAN)","12","C1S",16.28,"false",10.00,24.00,0.02,104.00,76.63,100.00,,,,,"true"
71.00,"SINGLE PROTEIN","P43251",""," Biotinidase (BTD_HUMAN)","3","BTD",20.99,"true",10.00,34.00,0.02,115.00,61.09,100.00,,,,,"true"
72.00,"SINGLE PROTEIN","P55058",""," Phospholipid transfer protein (PLTP_HUMAN)","20","PLTP",21.91,"true",10.00,66.00,0.09,24.00,54.70,100.00,,,,,"true"
73.00,"SINGLE PROTEIN","P04114",""," Apolipoprotein B-100 (APOB_HUMAN)","2","APOB",3.55,"true",10.00,23.00,0.00,460.00,515.28,100.00,,,,,"true"
74.00,"SINGLE PROTEIN","P04217",""," Alpha-1B-glycoprotein (A1BG_HUMAN)","19","A1BG",30.71,"true",10.00,22.00,0.02,108.00,54.22,100.00,,,,,"true"
75.00,"SINGLE PROTEIN","Q8WXD2",""," Secretogranin-3 (SCG3_HUMAN)","15","SCG3",30.34,"true",9.00,41.00,0.03,73.00,52.97,100.00,,,,,"true"
76.00,"SINGLE PROTEIN","P40189",""," Interleukin-6 receptor subunit beta (IL6RB_HUMAN)","5","IL6ST",10.78,"true",9.00,19.00,0.01,193.00,103.47,100.00,,,,,"true"
77.00,"SINGLE PROTEIN","P01034",""," Cystatin-C (CYTC_HUMAN)","20","CST3",56.16,"false",9.00,19.00,0.03,66.00,15.79,100.00,,,,,"true"
78.00,"SINGLE PROTEIN","P25311",""," Zinc-alpha-2-glycoprotein (ZA2G_HUMAN)","7","AZGP1",24.50,"true",9.00,40.00,0.07,38.00,34.24,100.00,,,,,"true"
79.00,"SINGLE PROTEIN","P19827",""," Inter-alpha-trypsin inhibitor heavy chain H1 (ITIH1_HUMAN)","3","ITIH1",12.40,"true",9.00,39.00,0.03,84.00,101.33,100.00,,,,,"true"
80.00,"SINGLE PROTEIN","P02749",""," Beta-2-glycoprotein 1 (APOH_HUMAN)","17","APOH",29.57,"false",8.00,52.00,0.03,72.00,38.27,100.00,,,,,"true"
81.00,"SINGLE PROTEIN","P02760",""," Protein AMBP (AMBP_HUMAN)","9","AMBP",31.25,"true",8.00,49.00,0.05,49.00,38.97,100.00,,,,,"true"
82.00,"SINGLE PROTEIN","P12259",""," Coagulation factor V (FA5_HUMAN)","1","F5",6.83,"true",8.00,12.00,0.00,562.00,251.55,100.00,,,,,"true"
83.00,"SINGLE PROTEIN","P13521",""," Secretogranin-2 (SCG2_HUMAN)","2","SCG2",10.70,"true",8.00,35.00,0.01,149.00,70.90,100.00,,,,,"true"
84.00,"SINGLE PROTEIN","P02675",""," Fibrinogen beta chain (FIBB_HUMAN)","4","FGB",15.68,"true",8.00,44.00,0.05,47.00,55.89,100.00,,,,,"true"
85.00,"SINGLE PROTEIN","P08571",""," Monocyte differentiation antigen CD14 (CD14_HUMAN)","5","CD14",26.40,"true",8.00,18.00,0.02,133.00,40.05,100.00,,,,,"true"
86.00,"SINGLE PROTEIN","P08779",""," Keratin, type I cytoskeletal 16 (K1C16_HUMAN)","17","KRT16",21.14,"false",8.00,13.00,0.01,242.00,51.24,100.00,,,,,"true"
87.00,"SINGLE PROTEIN","P43652",""," Afamin (AFAM_HUMAN)","4","AFM",16.86,"true",8.00,44.00,0.04,57.00,69.02,100.00,,,,,"true"
88.00,"SINGLE PROTEIN","P20774",""," Mimecan (MIME_HUMAN)","9","OGN",29.87,"true",8.00,26.00,0.06,42.00,33.90,100.00,,,,,"true"
89.00,"SINGLE PROTEIN","P05156",""," Complement factor I (CFAI_HUMAN)","4","CFI",21.96,"true",8.00,22.00,0.02,118.00,65.71,100.00,,,,,"true"
90.00,"SINGLE PROTEIN","Q96PD5",""," N-acetylmuramoyl-L-alanine amidase (PGRP2_HUMAN)","19","PGLYRP2",24.13,"false",7.00,22.00,0.01,160.00,62.18,100.00,,,,,"true"
91.00,"SINGLE PROTEIN","P02750",""," Leucine-rich alpha-2-glycoprotein (A2GL_HUMAN)","19","LRG1",16.14,"true",7.00,29.00,0.05,52.00,38.15,100.00,,,,,"true"
92.00,"SINGLE PROTEIN","P02538",""," Keratin, type II cytoskeletal 6A (K2C6A_HUMAN)","12","KRT6A",14.36,"false",7.00,14.00,0.00,340.00,60.01,100.00,,,,,"true"
93.00,"SINGLE PROTEIN","P02533",""," Keratin, type I cytoskeletal 14 (K1C14_HUMAN)","17","KRT14",16.95,"false",7.00,12.00,0.00,355.00,51.53,100.00,,,,,"true"
94.00,"SINGLE PROTEIN","P11047",""," Laminin subunit gamma-1 (LAMC1_HUMAN)","1","LAMC1",4.85,"false",7.00,11.00,0.00,617.00,177.49,100.00,,,,,"true"
95.00,"SINGLE PROTEIN","P09486",""," SPARC (SPRC_HUMAN)","5","SPARC",20.79,"false",7.00,13.00,0.02,95.00,34.61,100.00,,,,,"true"
96.00,"SINGLE PROTEIN","P23471",""," Receptor-type tyrosine-protein phosphatase zeta (PTPRZ_HUMAN)","7","PTPRZ1",4.19,"true",7.00,13.00,0.00,368.00,254.43,100.00,,,,,"true"
97.00,"SINGLE PROTEIN","Q92859",""," Neogenin (NEO1_HUMAN)","15","NEO1",8.56,"false",7.00,17.00,0.01,296.00,159.92,100.00,,,,,"true"
98.00,"SINGLE PROTEIN","Q92876",""," Kallikrein-6 (KLK6_HUMAN)","19","KLK6",36.48,"true",7.00,9.00,0.01,147.00,26.84,100.00,,,,,"true"
99.00,"SINGLE PROTEIN","Q7Z7M0",""," Multiple epidermal growth factor-like domains protein 8 (MEGF8_HUMAN)","19","MEGF8",4.39,"false",7.00,14.00,0.00,655.00,302.90,100.00,,,,,"true"
100.00,"SINGLE PROTEIN","Q92752",""," Tenascin-R (TENR_HUMAN)","1","TNR",4.20,"true",7.00,16.00,0.01,272.00,149.47,100.00,,,,,"true"
101.00,"SINGLE PROTEIN","Q92673",""," Sortilin-related receptor (SORL_HUMAN)","11","SORL1",4.56,"false",7.00,10.00,0.00,750.00,248.27,100.00,,,,,"true"
102.00,"SINGLE PROTEIN","P07602",""," Prosaposin (SAP_HUMAN)","10","PSAP",8.97,"true",7.00,28.00,0.02,99.00,58.07,100.00,,,,,"true"
103.00,"SINGLE PROTEIN","P04156",""," Major prion protein (PRIO_HUMAN)","20","PRNP",18.97,"true",7.00,31.00,0.09,26.00,27.64,100.00,,,,,"true"
104.00,"SINGLE PROTEIN","P04259",""," Keratin, type II cytoskeletal 6B (K2C6B_HUMAN)","12","KRT6B",14.54,"false",7.00,12.00,0.00,343.00,60.03,100.00,,,,,"true"
105.00,"SINGLE PROTEIN","Q99435",""," Protein kinase C-binding protein NELL2 (NELL2_HUMAN)","12","NELL2",11.89,"false",7.00,27.00,0.01,192.00,91.28,100.00,,,,,"true"
106.00,"SINGLE PROTEIN","Q14515",""," SPARC-like protein 1 (SPRL1_HUMAN)","4","SPARCL1",17.77,"true",7.00,14.00,0.01,241.00,75.16,100.00,,,,,"true"
107.00,"SINGLE PROTEIN","Q6UXD5",""," Seizure 6-like protein 2 (SE6L2_HUMAN)","16","SEZ6L2",8.24,"true",7.00,19.00,0.01,195.00,97.50,100.00,,,,,"true"
108.00,"SINGLE PROTEIN","Q9NQ79",""," Cartilage acidic protein 1 (CRAC1_HUMAN)","10","CRTAC1",12.71,"false",7.00,27.00,0.04,64.00,71.38,100.00,,,,,"true"
109.00,"SINGLE PROTEIN","O94769",""," Extracellular matrix protein 2 (ECM2_HUMAN)","9","ECM2",6.44,"false",6.00,13.00,0.01,170.00,79.74,100.00,,,,,"true"
110.00,"SINGLE PROTEIN","P27169",""," Serum paraoxonase/arylesterase 1 (PON1_HUMAN)","7","PON1",23.66,"false",6.00,19.00,0.03,71.00,39.71,100.00,,,,,"true"
111.00,"SINGLE PROTEIN","Q8IWV2",""," Contactin-4 (CNTN4_HUMAN)","3","CNTN4",7.21,"false",6.00,6.00,0.00,468.00,113.38,100.00,,,,,"true"
112.00,"SINGLE PROTEIN","P02671",""," Fibrinogen alpha chain (FIBA_HUMAN)","4","FGA",8.31,"true",6.00,13.00,0.01,274.00,94.91,100.00,,,,,"true"
113.00,"SINGLE PROTEIN","P02652",""," Apolipoprotein A-II (APOA2_HUMAN)","1","APOA2",48.00,"true",6.00,15.00,0.05,48.00,11.17,100.00,,,,,"true"
114.00,"SINGLE PROTEIN","P13647",""," Keratin, type II cytoskeletal 5 (K2C5_HUMAN)","12","KRT5",12.20,"false",6.00,19.00,0.01,220.00,62.34,100.00,,,,,"true"
115.00,"SINGLE PROTEIN","O15394",""," Neural cell adhesion molecule 2 (NCAM2_HUMAN)","21","NCAM2",8.24,"false",6.00,16.00,0.01,300.00,92.99,100.00,,,,,"true"
116.00,"SINGLE PROTEIN","P08185",""," Corticosteroid-binding globulin (CBG_HUMAN)","14","SERPINA6",24.69,"true",6.00,11.00,0.01,205.00,45.11,100.00,,,,,"true"
117.00,"SINGLE PROTEIN","Q06418",""," Tyrosine-protein kinase receptor TYRO3 (TYRO3_HUMAN)","15","TYRO3",12.92,"false",6.00,6.00,0.00,498.00,96.84,100.00,,,,,"true"
118.00,"SINGLE PROTEIN","P55290",""," Cadherin-13 (CAD13_HUMAN)","16","CDH13",16.69,"false",6.00,10.00,0.00,361.00,78.24,100.00,,,,,"true"
119.00,"SINGLE PROTEIN","Q02246",""," Contactin-2 (CNTN2_HUMAN)","1","CNTN2",7.88,"true",6.00,16.00,0.00,338.00,113.32,100.00,,,,,"true"
120.00,"SINGLE PROTEIN","Q96GW7",""," Brevican core protein (PGCB_HUMAN)","1","BCAN",11.86,"true",6.00,23.00,0.01,151.00,99.06,100.00,,,,,"true"
121.00,"SINGLE PROTEIN","Q16620",""," BDNF/NT-3 growth factors receptor (NTRK2_HUMAN)","9","NTRK2",9.00,"false",6.00,21.00,0.01,166.00,91.94,100.00,,,,,"true"
122.00,"SINGLE PROTEIN","P78324",""," Tyrosine-protein phosphatase non-receptor type substrate 1 (SHPS1_HUMAN)","20","SIRPA",15.28,"false",6.00,18.00,0.01,227.00,54.93,100.00,,,,,"true"
123.00,"SINGLE PROTEIN","P05543",""," Thyroxine-binding globulin (THBG_HUMAN)","X","SERPINA7",18.07,"true",6.00,16.00,0.02,117.00,46.29,100.00,,,,,"true"
124.00,"SINGLE PROTEIN","P04196",""," Histidine-rich glycoprotein (HRG_HUMAN)","3","HRG",14.48,"true",6.00,36.00,0.07,36.00,59.54,100.00,,,,,"true"
125.00,"SINGLE PROTEIN","P19823",""," Inter-alpha-trypsin inhibitor heavy chain H2 (ITIH2_HUMAN)","10","ITIH2",7.08,"true",6.00,12.00,0.00,315.00,106.40,100.00,,,,,"true"
126.00,"SINGLE PROTEIN","P16519",""," Neuroendocrine convertase 2 (NEC2_HUMAN)","20","PCSK2",7.68,"false",5.00,9.00,0.00,383.00,70.52,100.00,,,,,"true"
127.00,"SINGLE PROTEIN","Q9Y4L1",""," Hypoxia up-regulated protein 1 (HYOU1_HUMAN)","11","HYOU1",7.01,"false",5.00,7.00,0.00,543.00,111.27,100.00,,,,,"true"
128.00,"SINGLE PROTEIN","Q9HC56",""," Protocadherin-9 (PCDH9_HUMAN)","13","PCDH9",4.37,"true",5.00,12.00,0.00,442.00,135.98,100.00,,,,,"true"
129.00,"SINGLE PROTEIN","P27797",""," Calreticulin (CALR_HUMAN)","19","CALR",22.06,"false",5.00,18.00,0.02,114.00,48.11,100.00,,,,,"true"
130.00,"SINGLE PROTEIN","P16870",""," Carboxypeptidase E (CBPE_HUMAN)","4","CPE",17.02,"false",5.00,19.00,0.01,146.00,53.12,100.00,,,,,"true"
131.00,"SINGLE PROTEIN","Q9NY97",""," N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 2 (B3GN2_HUMAN)","2","B3GNT2",17.88,"false",5.00,8.00,0.01,250.00,45.99,100.00,,,,,"true"
132.00,"SINGLE PROTEIN","P02743",""," Serum amyloid P-component (SAMP_HUMAN)","1","APCS",31.84,"true",5.00,20.00,0.05,45.00,25.37,100.00,,,,,"true"
133.00,"SINGLE PROTEIN","P01591",""," Immunoglobulin J chain (IGJ_HUMAN)","4","IGJ",28.30,"false",5.00,7.00,0.02,111.00,18.09,100.00,,,,,"true"
134.00,"SINGLE PROTEIN","P24043",""," Laminin subunit alpha-2 (LAMA2_HUMAN)","6","LAMA2",1.92,"true",5.00,8.00,0.00,654.00,343.68,100.00,,,,,"true"
135.00,"SINGLE PROTEIN","P00441",""," Superoxide dismutase [Cu-Zn] (SODC_HUMAN)","21","SOD1",48.05,"false",5.00,10.00,0.04,63.00,15.93,100.00,,,,,"true"
136.00,"SINGLE PROTEIN","P61916",""," Epididymal secretory protein E1 (NPC2_HUMAN)","14","NPC2",33.11,"true",5.00,11.00,0.05,44.00,16.56,100.00,,,,,"true"
137.00,"SINGLE PROTEIN","P00734",""," Prothrombin (THRB_HUMAN)","11","F2",9.49,"true",5.00,17.00,0.01,183.00,69.99,100.00,,,,,"true"
138.00,"SINGLE PROTEIN","O75882",""," Attractin (ATRN_HUMAN)","20","ATRN",4.34,"false",5.00,10.00,0.00,348.00,158.43,100.00,,,,,"true"
139.00,"SINGLE PROTEIN","Q96IY4",""," Carboxypeptidase B2 (CBPB2_HUMAN)","13","CPB2",10.17,"true",5.00,13.00,0.02,123.00,48.39,100.00,,,,,"true"
140.00,"SINGLE PROTEIN","P05067",""," Amyloid beta A4 protein (A4_HUMAN)","21","APP",4.81,"true",5.00,9.00,0.01,214.00,86.89,100.00,,,,,"true"
141.00,"SINGLE PROTEIN","P06727",""," Apolipoprotein A-IV (APOA4_HUMAN)","11","APOA4",22.98,"true",5.00,9.00,0.01,171.00,45.37,100.00,,,,,"true"
142.00,"SINGLE PROTEIN","O95502",""," Neuronal pentraxin receptor (NPTXR_HUMAN)","22","NPTXR",10.20,"true",5.00,9.00,0.01,212.00,52.81,100.00,,,,,"true"
143.00,"SINGLE PROTEIN","P04216",""," Thy-1 membrane glycoprotein (THY1_HUMAN)","11","THY1",37.27,"false",5.00,32.00,0.17,14.00,17.92,100.00,,,,,"true"
