IPI ID;UniProt Accession
IPI00022394;P02747
IPI00022395;P02748
IPI00022417;P02750
IPI00022418;P02751
IPI00022420;P02753
IPI00022426;P02760
IPI00022429;P02763
IPI00022431;-
IPI00022432;P02766
IPI00022434;-
IPI00022463;P02787
IPI00022465;O14578
IPI00022482;Q9Y3R4
IPI00022488;P02790
IPI00022608;Q92673
IPI00022733;-
IPI00022792;P55083
IPI00022822;P39060
IPI00022892;P04216
IPI00022895;P04217
IPI00022937;-
IPI00022977;P12277
IPI00023006;P68032
IPI00023019;P04278
IPI00023532;-
IPI00023648;O14498
IPI00023673;Q08380
IPI00023728;Q92820
IPI00023814;Q92859
IPI00023824;-
IPI00023845;Q92876
IPI00024035;P55285
IPI00024046;-
IPI00024048;P55291
IPI00024067;Q00610
IPI00024102;-
IPI00024105;Q9BXJ0
IPI00024129;P45877
IPI00024138;-
IPI00024278;O60706
IPI00024284;P98160
IPI00024289;-
IPI00024570;Q9NS98
IPI00024587;Q9NYX4
IPI00024601;Q9NS85
IPI00024825;Q92954
IPI00024933;P30050
IPI00024966;Q02246
IPI00025079;-
IPI00025091;P62280
IPI00025257;O75326
IPI00025276;P22105
IPI00025318;O75368
IPI00025363;P14136
IPI00025419;-
IPI00025426;P20742
IPI00025447;-
IPI00025465;P20774
IPI00025755;-
IPI00025812;O75493
IPI00025840;P20827
IPI00025864;P06276
IPI00026104;P22304
IPI00026154;P14314
IPI00026174;P06307
IPI00026185;P47756
IPI00026195;-
IPI00026197;-
IPI00026199;P22352
IPI00026259;P20933
IPI00026272;P04908
IPI00026314;P06396
IPI00026320;O95071
IPI00026530;P49257
IPI00026569;P30443
IPI00026781;P49327
IPI00026800;O75711
IPI00026944;P14543
IPI00026946;P47972
IPI00027038;Q9Y279
IPI00027087;-
IPI00027166;P16035
IPI00027192;-
IPI00027235;O75882
IPI00027310;Q7Z7M0
IPI00027350;P32119
IPI00027434;P08134
IPI00027444;P30740
IPI00027466;P22748
IPI00027482;P08185
IPI00027499;-
IPI00027500;-
IPI00027507;Q02985
IPI00027547;P81605
IPI00027703;P49641
IPI00027769;P08246
IPI00027780;P08253
IPI00027827;P08294
IPI00027834;P14866
IPI00027848;P22897
IPI00027977;P57727
IPI00028492;Q9C0I4
IPI00028513;O60266
IPI00028600;P49862
IPI00028714;P08493
IPI00028908;Q14112
IPI00028911;Q14118
IPI00029023;Q7L945
IPI00029046;Q14165
IPI00029061;P49908
IPI00029235;P24592
IPI00029236;P24593
IPI00029260;P08571
IPI00029343;Q9UHC6
IPI00029455;O95255
IPI00029658;Q12805
IPI00029699;P34096
IPI00029717;P02671
IPI00029723;Q12841
IPI00029739;P08603
IPI00029751;Q12860
IPI00029817;Q99519
IPI00029819;Q9UM47
IPI00029863;-
IPI00030111;O95390
IPI00030313;O60583
IPI00030385;-
IPI00030739;O95445
IPI00030877;O60613
IPI00030887;Q06418
IPI00031030;Q06481
IPI00031121;P16870
IPI00031289;-
IPI00031370;Q9BVA1
IPI00031506;O60741
IPI00031562;Q7L7L0
IPI00031765;Q9Y5F7
IPI00031766;Q9Y5F6
IPI00031769;Q9H1Z8
IPI00031821;Q9Y287
IPI00032179;P01008
IPI00032197;O60806
IPI00032220;P01019
IPI00032234;-
IPI00032258;P0C0L4
IPI00032288;Q9H8J5
IPI00032291;P01031
IPI00032292;P01033
IPI00032293;P01034
IPI00032328;P01042
IPI00032395;-
IPI00032405;O60883
IPI00032449;Q12797
IPI00032876;Q9NRR1
IPI00033025;-
IPI00033086;Q9P1A6
IPI00033466;Q9Y240
IPI00034201;Q9C0B7
IPI00034319;O60888
IPI00034558;Q9HDB5
IPI00037070;P11142
IPI00043215;Q8N6C5
IPI00043654;-
IPI00044369;Q6UX71
IPI00044600;Q96PQ0
IPI00045512;Q96RW7
IPI00048230;P58417
IPI00056478;Q969P0
IPI00056537;Q969Y0
IPI00059308;Q96A99
IPI00059685;Q13510
IPI00060310;-
IPI00061033;O60393
IPI00061246;-
IPI00061977;-
IPI00064125;-
IPI00064607;Q96KG7
IPI00064667;Q96KN2
IPI00065458;Q8NEP3
IPI00065931;Q12802
IPI00066511;-
IPI00068871;-
IPI00069058;-
IPI00071180;Q9UMX0
IPI00072917;P12111
IPI00072918;-
IPI00073777;Q6UX71
IPI00074230;Q6NT76
IPI00075013;-
IPI00075248;P62158
IPI00081836;Q96KK5
IPI00087498;Q56NI9
IPI00098624;-
IPI00099131;Q9UGR2
IPI00100715;-
IPI00102069;Q7L2H7
IPI00102165;Q9BTM1
IPI00102543;Q96PX8
IPI00102864;P52789
IPI00103027;Q9NUQ6
IPI00103056;-
IPI00103175;Q8WVQ1
IPI00103471;Q8WWX9
IPI00103510;Q8WXD0
IPI00103552;Q8WXI7
IPI00103597;Q8WY21
IPI00104074;Q86VB7
IPI00105620;Q7L523
IPI00106646;Q9BRK5
IPI00107012;-
IPI00107819;-
IPI00107831;P10586
IPI00140696;-
IPI00142634;-
IPI00144014;-
IPI00145593;Q5C9Z4
IPI00147878;-
IPI00150751;-
IPI00152453;Q01726
IPI00152491;Q8TCZ2
IPI00152540;Q6YHK3
IPI00152785;P23527
IPI00152847;Q8TEU8
IPI00152906;P58876
IPI00152975;Q96AQ8
IPI00154734;Q53EL9
IPI00154742;P0CG05
IPI00154774;Q8WVF1
IPI00155647;O15018
IPI00156171;Q13822
IPI00157414;Q6UWR7
IPI00157417;Q9BYH1
IPI00157456;-
IPI00157556;Q6UXI9
IPI00159927;O14594
IPI00160131;B2RTY4
IPI00160552;Q92752
IPI00161229;-
IPI00162547;Q9HAR2
IPI00162735;O75882
IPI00163207;Q96PD5
IPI00163446;P01880
IPI00163563;Q96S96
IPI00163646;-
IPI00163849;Q9UBC2
IPI00164300;-
IPI00164623;-
IPI00164744;-
IPI00164755;-
IPI00165421;-
IPI00165438;-
IPI00165652;-
IPI00165947;P11362
IPI00165972;P00746
IPI00166039;Q8N114
IPI00166048;Q8N126
IPI00166339;Q5JZY3
IPI00166392;Q9BY67
IPI00166622;Q8N3T6
IPI00166729;P25311
IPI00166766;Q6UX73
IPI00166768;-
IPI00166807;Q8N573
IPI00166866;-
IPI00166930;-
IPI00167087;P02461
IPI00167215;Q14CZ8
IPI00167619;Q8N967
IPI00168459;Q86SQ0
IPI00168479;-
IPI00168728;-
IPI00168884;O75787
IPI00169383;P00558
IPI00170548;Q6PL18
IPI00170551;Q8NFY4
IPI00170617;Q8NFY4
IPI00171410;Q8NBI6
IPI00171411;Q8NBJ4
IPI00171473;Q9HCB6
IPI00171611;Q71DI3
IPI00171928;O43827
IPI00172636;Q13557
IPI00173359;Q9BZF9
IPI00175083;-
IPI00176193;Q05707
IPI00176221;Q7Z3B1
IPI00176312;-
IPI00176377;-
IPI00176424;Q8NFZ4
IPI00176427;Q8NFZ8
IPI00176458;-
IPI00176482;-
IPI00177476;-
IPI00177543;P19021
IPI00177642;Q9Y3X0
IPI00177869;-
IPI00178047;-
IPI00178302;Q8NFY4
IPI00178743;Q8TCU4
IPI00178854;Q8IWV2
IPI00179044;-
IPI00179057;Q13620
IPI00179330;P62979
IPI00179357;Q8WZ42
IPI00179709;Q13748
IPI00179964;P26599
IPI00180240;-
IPI00180384;Q8WXX0
IPI00180675;Q71U36
IPI00180776;-
IPI00182654;-
IPI00182757;Q8N163
IPI00182840;-
IPI00183445;O94910
IPI00183487;Q86Y38
IPI00183629;Q14508
IPI00184598;-
IPI00184861;Q9NZ94
IPI00184954;-
IPI00185362;-
IPI00185662;-
IPI00185885;-
IPI00186006;Q86SQ7
IPI00186460;P02458
IPI00186736;Q969P0
IPI00186903;O14791
IPI00215628;P13611
IPI00215631;P13611
IPI00215638;-
IPI00215715;Q9UQM7
IPI00215767;P15291
IPI00215894;P01042
IPI00215914;P84077
IPI00215919;P84085
IPI00215977;P01344
IPI00215992;-
IPI00216005;-
IPI00216138;Q01995
IPI00216164;Q08426
IPI00216171;P09104
IPI00216172;P13473
IPI00216250;Q9C0A0
IPI00216251;O60706
IPI00216283;-
IPI00216298;P10599
IPI00216441;Q9UMR5
IPI00216456;Q93077
IPI00216457;Q6FI13
IPI00216474;P02686
IPI00216475;P02686
IPI00216477;P02686
IPI00216478;P02686
IPI00216550;P08174
IPI00216641;Q12860
IPI00216691;P07737
IPI00216728;-
IPI00216730;Q8IUE6
IPI00216817;A6NES4
IPI00216859;P11362
IPI00216951;P14868
IPI00217045;-
IPI00217055;Q8IVL5
IPI00217146;Q8IW52
IPI00217291;Q92859
IPI00217314;P55285
IPI00217423;-
IPI00217540;O60341
IPI00217778;P55058
IPI00217784;Q9ULP0
IPI00217865;Q7Z6J4
IPI00217882;Q99523
IPI00217963;P08779
IPI00217966;P00338
IPI00218019;P35613
IPI00218093;-
IPI00218108;Q9UN36
IPI00218109;Q9UN36
IPI00218192;Q14624
IPI00218343;Q9BQE3
IPI00218345;Q13748
IPI00218413;P43251
IPI00218414;P00918
IPI00218461;-
IPI00218462;-
IPI00218508;P00751
IPI00218648;P29374
IPI00218725;-
IPI00218732;P27169
IPI00218733;P00441
IPI00218746;-
IPI00218803;P23142
IPI00218816;-
IPI00218836;P07108
IPI00218851;-
IPI00218852;P09327
IPI00218874;P10451
IPI00218875;P10451
IPI00218912;P35368
IPI00218963;-
IPI00219018;P04406
IPI00219029;P17174
IPI00219037;P16104
IPI00219041;-
IPI00219042;P19021
IPI00219131;O75144
IPI00219165;Q13554
IPI00219182;P05067
IPI00219183;P05067
IPI00219185;P05067
IPI00219186;P05067
IPI00219187;P05067
IPI00219217;P07195
IPI00219219;P09382
IPI00219301;P29966
IPI00219403;P07585
IPI00219425;P15151
IPI00219446;P30086
IPI00219455;-
IPI00219465;P20062
IPI00219551;Q9UN79
IPI00219583;P04278
IPI00219661;P60201
IPI00219666;-
IPI00219684;P05413
IPI00219703;P20472
IPI00219713;P02679
IPI00219714;-
IPI00219798;Q9Y6N7
IPI00219803;O14604
IPI00219824;-
IPI00219825;P07602
IPI00219860;P23468
IPI00220107;-
IPI00220108;-
IPI00220109;P46100
IPI00220110;-
IPI00220249;-
IPI00220292;Q13508
IPI00220293;Q13508
IPI00220303;P49641
IPI00220327;P04264
IPI00220333;Q9BYH1
IPI00220334;Q9BYH1
IPI00220350;P05106
IPI00220361;P05937
IPI00220391;-
IPI00220403;P33778
IPI00220454;P04085
IPI00220525;-
IPI00220532;-
IPI00220558;P21817
IPI00220562;Q15818
IPI00220631;Q9P0K1
IPI00220632;Q9P0K1
IPI00220634;Q9P0K1
IPI00220635;Q9P0K1
IPI00220644;P14618
IPI00220647;P29279
IPI00220701;P12111
IPI00220737;P13591
IPI00220739;O00264
IPI00220740;P06748
IPI00220813;Q12805
IPI00220814;Q12805
IPI00220815;Q12805
IPI00220827;P63313
IPI00220828;P62328
IPI00220855;Q9BTM1
IPI00220977;Q06481
IPI00220978;Q06481
IPI00220983;P11362
IPI00221115;Q9P1A6
IPI00221163;-
IPI00221325;P49792
IPI00221384;Q99715
IPI00232276;-
IPI00232311;-
IPI00240905;-
IPI00240909;-
IPI00240988;-
IPI00241562;P78509
IPI00242956;Q9Y6R7
IPI00247243;A6NLU5
IPI00247295;Q8NF91
IPI00247871;O14776
IPI00248321;-
IPI00252731;P42658
IPI00253009;-
IPI00255145;-
IPI00255316;P20671
IPI00259102;-
IPI00288940;Q5VST9
IPI00289058;Q9BZG9
IPI00289083;Q5VU97
IPI00289204;Q9BZR6
IPI00289501;O15240
IPI00289766;Q7L513
IPI00289831;Q13332
IPI00290078;-
IPI00290085;P19022
IPI00290283;P48740
IPI00290315;P10645
IPI00290411;-
IPI00290456;Q9UMF0
IPI00290770;-
IPI00290856;Q9Y5Y7
IPI00290857;P12035
IPI00291005;-
IPI00291099;-
IPI00291136;P12109
IPI00291175;P18206
IPI00291215;Q460N5
IPI00291262;P10909
IPI00291300;-
IPI00291549;-
IPI00291641;-
IPI00291764;P0C0S8
IPI00291811;-
IPI00291866;P05155
IPI00291867;P05156
IPI00291929;-
IPI00292069;P08174
IPI00292071;Q8WXD2
IPI00292150;Q14767
IPI00292300;Q8WYK1
IPI00292304;Q9P0K9
IPI00292530;P19827
IPI00292567;-
IPI00292690;P48736
IPI00292791;Q9P232
IPI00292946;P05543
IPI00292950;-
IPI00293057;Q96IY4
IPI00293088;P10253
IPI00293173;-
IPI00293275;Q13332
IPI00293303;Q99538
IPI00294004;P07225
IPI00294193;-
IPI00294395;P07358
IPI00294615;Q9UBX5
IPI00294650;Q92765
IPI00294776;P78509
IPI00294834;Q12797
IPI00295414;P39059
IPI00295437;A4D0S4
IPI00295542;Q02818
IPI00295684;-
IPI00295741;P07858
IPI00295767;O95897
IPI00295832;P23515
IPI00296058;O95967
IPI00296069;P29374
IPI00296120;-
IPI00296141;Q9UHL4
IPI00296165;P00736
IPI00296168;-
IPI00296170;-
IPI00296337;P78527
IPI00296350;-
IPI00296534;P23142
IPI00296537;P23142
IPI00296608;P10643
IPI00296777;Q14515
IPI00296965;Q9UKP5
IPI00296992;P30530
IPI00297124;P40189
IPI00297160;P16070
IPI00297188;O60241
IPI00297252;Q8IWU5
IPI00297263;Q9ULI3
IPI00297284;P18065
IPI00297487;P09668
IPI00297633;P46100
IPI00297646;P02452
IPI00297655;Q04721
IPI00298066;-
IPI00298237;O14773
IPI00298281;P11047
IPI00298388;Q96FE7
IPI00298497;P02675
IPI00298547;Q99497
IPI00298793;O00462
IPI00298828;P02749
IPI00298853;-
IPI00298888;-
IPI00298902;Q9UPP5
IPI00298971;P04004
IPI00298994;Q9Y490
IPI00299024;P80723
IPI00299026;-
IPI00299059;O00533
IPI00299083;P57087
IPI00299086;O00560
IPI00299103;-
IPI00299145;P48668
IPI00299150;P25774
IPI00299503;P80108
IPI00299590;Q13332
IPI00299594;O14786
IPI00299633;-
IPI00299699;Q9NQX5
IPI00299738;Q15113
IPI00300052;Q9NSB2
IPI00300241;Q9NT99
IPI00300384;P04626
IPI00301019;-
IPI00301143;Q6UXB8
IPI00301185;Q9BWS9
IPI00301255;Q96ID5
IPI00301395;Q9H3G5
IPI00301512;P42658
IPI00301579;-
IPI00301865;Q24JP5
IPI00301884;-
IPI00301961;P29120
IPI00302146;-
IPI00302453;Q9NYC9
IPI00302503;-
IPI00302592;P21333
IPI00302641;Q9NYQ8
IPI00302679;Q14766
IPI00302850;P62314
IPI00303133;Q93079
IPI00303161;Q96AP7
IPI00303210;Q13822
IPI00303315;-
IPI00303335;P20929
IPI00303476;P06576
IPI00303963;P06681
IPI00304273;P06727
IPI00304865;Q03167
IPI00304925;P08107
IPI00304962;P08123
IPI00305064;P16070
IPI00305380;P22692
IPI00305457;-
IPI00305461;P19823
IPI00305719;-
IPI00306339;P10451
IPI00306471;Q9BW85
IPI00306719;-
IPI00307328;-
IPI00307409;Q9BYD2
IPI00307536;Q8IYF3
IPI00307684;-
IPI00328113;P35555
IPI00328163;-
IPI00328245;P11362
IPI00328268;-
IPI00328348;-
IPI00328418;P29374
IPI00328550;P35443
IPI00328609;P29622
IPI00328680;Q8NI22
IPI00328703;Q86UD1
IPI00328722;Q5TAH2
IPI00328746;Q86UN3
IPI00328762;Q86UQ4
IPI00328826;Q86UW7
IPI00328829;Q86UX2
IPI00328972;Q7RTR0
IPI00329573;Q99715
IPI00329665;Q5QNW6
IPI00329688;Q9GZM5
IPI00329727;O95398
IPI00329775;Q96IY4
IPI00329783;Q12802
IPI00332161;-
IPI00332259;-
IPI00332271;Q13332
IPI00332272;Q13332
IPI00332273;Q13332
IPI00332623;Q01955
IPI00332838;P11362
IPI00332846;Q8NFY4
IPI00332887;-
IPI00333125;-
IPI00333140;Q8NFT8
IPI00333234;-
IPI00333383;-
IPI00333429;-
IPI00333662;-
IPI00333776;Q92823
IPI00333777;Q92823
IPI00333778;Q92823
IPI00333781;-
IPI00334005;Q08431
IPI00334175;P26599
IPI00334191;-
IPI00334195;P01127
IPI00334238;O95502
IPI00334282;Q92520
IPI00334324;-
IPI00334432;-
IPI00334532;P32004
IPI00334666;Q92932
IPI00334667;Q92932
IPI00334799;P21817
IPI00335009;Q8NDA2
IPI00335356;-
IPI00337548;Q99674
IPI00339223;P02751
IPI00339225;P02751
IPI00339227;P02751
IPI00339228;P02751
IPI00339269;P17066
IPI00339274;Q16777
IPI00339318;-
IPI00339319;P02751
IPI00374048;-
IPI00374169;Q8NFY4
IPI00374481;-
IPI00374519;Q92928
IPI00374563;O00468
IPI00374914;-
IPI00375124;-
IPI00375255;Q96RV3
IPI00375400;-
IPI00375426;-
IPI00375547;-
IPI00375548;-
IPI00375836;Q6SJ93
IPI00376215;P78527
IPI00376317;Q6P2E9
IPI00376343;-
IPI00376379;Q7Z794
IPI00376382;-
IPI00376427;O15394
IPI00376439;Q7Z7G8
IPI00376441;-
IPI00376656;-
IPI00376832;-
IPI00376964;-
IPI00377087;-
IPI00377137;A7E2F4
IPI00377199;-
IPI00382428;-
IPI00382474;P01762
IPI00382481;P01767
IPI00382482;P01768
IPI00382488;P01771
IPI00382497;P01779
IPI00382499;P01780
IPI00382577;-
IPI00382606;-
IPI00382716;-
IPI00382750;-
IPI00382767;-
IPI00382843;-
IPI00382926;-
IPI00382937;-
IPI00382938;-
IPI00382950;-
IPI00382989;Q9HAC7
IPI00382995;-
IPI00383111;-
IPI00383500;Q96AC1
IPI00383591;-
IPI00383708;-
IPI00383710;-
IPI00383732;-
IPI00383767;-
IPI00383814;Q24JP5
IPI00383957;-
IPI00383975;-
IPI00384016;-
IPI00384073;-
IPI00384156;-
IPI00384174;Q86TY3
IPI00384264;-
IPI00384288;-
IPI00384293;-
IPI00384355;-
IPI00384391;-
IPI00384392;-
IPI00384398;-
IPI00384400;-
IPI00384403;-
IPI00384404;-
IPI00384406;-
IPI00384444;P02533
IPI00384542;P14543
IPI00384576;P18136
IPI00384644;-
IPI00384662;Q53TS8
IPI00384697;P02768
IPI00384770;-
IPI00384856;-
IPI00384931;-
IPI00384938;-
IPI00384948;-
IPI00384977;-
IPI00385035;-
IPI00385058;-
IPI00385143;-
IPI00385244;-
IPI00385252;P04206
IPI00385254;P04208
IPI00385332;-
IPI00385349;-
IPI00385460;-
IPI00385507;-
IPI00385509;-
IPI00385896;P10451
IPI00385985;P80748
IPI00386131;P06311
IPI00386132;P06313
IPI00386133;P06314
IPI00386158;-
IPI00386438;-
IPI00386444;Q8NF91
IPI00386476;-
IPI00386575;P06888
IPI00386630;P20062
IPI00386639;-
IPI00386785;-
IPI00386839;-
IPI00386879;-
IPI00387022;P01593
IPI00387024;P01596
IPI00387025;P01597
IPI00387026;P01598
IPI00387027;P01599
IPI00387095;P01603
IPI00387097;P01605
IPI00387098;P01606
IPI00387100;P01608
IPI00387105;P01612
IPI00387106;P01613
IPI00387110;P01616
IPI00387111;-
IPI00387113;P01619
IPI00387116;P01621
IPI00387117;-
IPI00387118;P01623
IPI00387119;P01624
IPI00387144;-
IPI00387168;Q8NBP7
IPI00394653;O94856
IPI00394655;O94856
IPI00394658;P05067
IPI00394878;-
IPI00394992;Q96PD5
IPI00395435;-
IPI00395488;Q6EMK4
IPI00395649;Q9P2D8
IPI00395655;-
IPI00395997;Q86YJ6
IPI00396060;Q49A88
IPI00396243;Q8NEZ3
IPI00396304;-
IPI00396348;-
IPI00396370;P55884
IPI00396378;P22626
IPI00396423;Q9BQT9
IPI00396516;-
IPI00396582;-
IPI00396968;-
IPI00397039;-
IPI00397195;Q9ULT0
IPI00397198;-
IPI00397204;-
IPI00397340;-
IPI00397715;Q6ZQQ6
IPI00397768;Q9HCJ3
IPI00397808;-
IPI00398046;-
IPI00398132;-
IPI00398220;-
IPI00398301;O00451
IPI00398435;-
IPI00398715;-
IPI00398722;-
IPI00398985;-
IPI00399007;P01859
IPI00399193;-
IPI00400826;P10909
IPI00400983;Q4G0X4
IPI00402157;Q6UW01
IPI00402246;-
IPI00409626;Q9HC56
IPI00409640;Q86X29
IPI00409669;-
IPI00410124;P11362
IPI00410125;P11362
IPI00410152;-
IPI00410210;O94910
IPI00410216;P11362
IPI00410217;P11362
IPI00410218;P11362
IPI00410219;P11362
IPI00410220;P11362
IPI00410259;Q86SQ0
IPI00410310;-
IPI00410312;Q9HAR2
IPI00410402;Q6PEY2
IPI00410600;Q9NY47
IPI00410714;P69905
IPI00411478;P13591
IPI00411680;P22061
IPI00411937;O00567
IPI00412218;Q9P2D8
IPI00412541;Q5T848
IPI00412568;P05067
IPI00412608;-
IPI00412681;P05067
IPI00412898;Q9H4F8
IPI00412910;Q8WY21
IPI00412924;P05067
IPI00413065;Q86YJ6
IPI00413451;P35237
IPI00413533;Q8WVQ1
IPI00413728;-
IPI00413734;-
IPI00413778;P62942
IPI00413781;P48061
IPI00413923;Q01955
IPI00414018;-
IPI00414057;-
IPI00414274;-
