"CSF-PR / CSF MIXED-MODE BOUND FRACTION / Proteins / "
"","PI","Accession","Other Protein(s)","Description","CHROMOSOME","Gene Name","Coverage(%)","Non Enzymatic Peptides","#Peptides","#Spectra","NSAF","RANK (NSAF)","MW","Confidence","Spectrum Lower Range","Spectrum Upper Range","Peptide Lower Range","Peptide Upper Range","Validated"
25.00,"SINGLE PROTEIN","P02790",""," Hemopexin (HEMO_HUMAN)","11","HPX",57.36,"true",28.00,109.00,0.03,67.00,51.64,85.56,,,,,"true"
26.00,"SINGLE PROTEIN","P00450",""," Ceruloplasmin (CERU_HUMAN)","3","CP",40.00,"true",36.00,245.00,0.05,27.00,122.13,85.51,,,,,"true"
27.00,"SINGLE PROTEIN","P02647",""," Apolipoprotein A-I (APOA1_HUMAN)","11","APOA1",78.65,"true",35.00,138.00,0.05,29.00,30.76,85.45,,,,,"true"
28.00,"SINGLE PROTEIN","P01042",""," Kininogen-1 (KNG1_HUMAN)","3","KNG1",26.09,"true",16.00,85.00,0.04,60.00,71.91,85.42,,,,,"true"
29.00,"SINGLE PROTEIN","P02774",""," Vitamin D-binding protein (VTDB_HUMAN)","4","GC",62.87,"true",36.00,392.00,0.30,4.00,52.93,85.40,,,,,"true"
30.00,"SINGLE PROTEIN","P04196",""," Histidine-rich glycoprotein (HRG_HUMAN)","3","HRG",25.71,"true",13.00,35.00,0.02,129.00,59.54,85.37,,,,,"true"
31.00,"SINGLE PROTEIN","P01834",""," Ig kappa chain C region (IGKC_HUMAN)","2","IGKC",82.08,"true",12.00,244.00,1.30,1.00,11.60,85.23,,,,,"true"
32.00,"SINGLE PROTEIN","P05155",""," Plasma protease C1 inhibitor (IC1_HUMAN)","11","SERPING1",25.60,"false",15.00,34.00,0.02,151.00,55.12,85.19,,,,,"true"
33.00,"SINGLE PROTEIN","Q08380",""," Galectin-3-binding protein (LG3BP_HUMAN)","17","LGALS3BP",32.82,"false",14.00,32.00,0.01,198.00,65.29,85.14,,,,,"true"
34.00,"SINGLE PROTEIN","P35527",""," Keratin, type I cytoskeletal 9 (K1C9_HUMAN)","17","KRT9",23.92,"true",10.00,19.00,0.01,215.00,62.03,84.95,,,,,"true"
35.00,"SINGLE PROTEIN","P02652",""," Apolipoprotein A-II (APOA2_HUMAN)","1","APOA2",70.00,"true",11.00,27.00,0.05,36.00,11.17,84.87,,,,,"true"
36.00,"SINGLE PROTEIN","Q9Y6R7",""," IgGFc-binding protein (FCGBP_HUMAN)","19","FCGBP",9.03,"false",11.00,15.00,0.00,468.00,571.64,84.82,,,,,"true"
37.00,"SINGLE PROTEIN","P01857",""," Ig gamma-1 chain C region (IGHG1_HUMAN)","14","IGHG1",74.24,"true",46.00,316.00,0.29,6.00,36.08,84.77,,,,,"true"
38.00,"SINGLE PROTEIN","P02763",""," Alpha-1-acid glycoprotein 1 (A1AG1_HUMAN)","9","ORM1",53.73,"true",17.00,162.00,0.29,5.00,23.50,84.74,,,,,"true"
39.00,"RELATED PROTEINS","P01876","P01877"," Ig alpha-1 chain C region (IGHA1_HUMAN)","14","IGHA1",27.20,"true",16.00,35.00,0.01,201.00,37.63,84.72,,,,,"true"
40.00,"SINGLE PROTEIN","Q14624",""," Inter-alpha-trypsin inhibitor heavy chain H4 (ITIH4_HUMAN)","3","ITIH4",18.39,"true",11.00,60.00,0.05,28.00,103.29,84.69,,,,,"true"
41.00,"SINGLE PROTEIN","P19827",""," Inter-alpha-trypsin inhibitor heavy chain H1 (ITIH1_HUMAN)","3","ITIH1",19.21,"true",15.00,80.00,0.07,19.00,101.33,84.67,,,,,"true"
42.00,"SINGLE PROTEIN","P00751",""," Complement factor B (CFAB_HUMAN)","6","CFB",16.88,"true",12.00,67.00,0.03,79.00,85.48,84.64,,,,,"true"
43.00,"SINGLE PROTEIN","P13645",""," Keratin, type I cytoskeletal 10 (K1C10_HUMAN)","17","KRT10",18.15,"false",9.00,14.00,0.01,239.00,58.79,84.59,,,,,"true"
44.00,"SINGLE PROTEIN","Q9UBP4",""," Dickkopf-related protein 3 (DKK3_HUMAN)","11","DKK3",35.43,"true",14.00,42.00,0.04,65.00,38.37,84.52,,,,,"true"
45.00,"SINGLE PROTEIN","P02671",""," Fibrinogen alpha chain (FIBA_HUMAN)","4","FGA",17.09,"true",11.00,25.00,0.01,224.00,94.91,84.47,,,,,"true"
46.00,"SINGLE PROTEIN","P01859",""," Ig gamma-2 chain C region (IGHG2_HUMAN)","14","IGHG2",80.67,"true",38.00,214.00,0.05,42.00,35.88,84.35,,,,,"true"
47.00,"SINGLE PROTEIN","P19823",""," Inter-alpha-trypsin inhibitor heavy chain H2 (ITIH2_HUMAN)","10","ITIH2",13.11,"false",12.00,45.00,0.02,128.00,106.40,84.29,,,,,"true"
48.00,"SINGLE PROTEIN","P09871",""," Complement C1s subcomponent (C1S_HUMAN)","12","C1S",16.86,"true",8.00,11.00,0.01,257.00,76.63,84.24,,,,,"true"
49.00,"SINGLE PROTEIN","P01876",""," Ig alpha-1 chain C region (IGHA1_HUMAN)","14","IGHA1",68.56,"true",26.00,67.00,0.04,46.00,37.63,84.23,,,,,"true"
50.00,"SINGLE PROTEIN","P02743",""," Serum amyloid P-component (SAMP_HUMAN)","1","APCS",34.08,"true",10.00,23.00,0.05,44.00,25.37,84.18,,,,,"true"
51.00,"SINGLE PROTEIN","P02749",""," Beta-2-glycoprotein 1 (APOH_HUMAN)","17","APOH",24.06,"true",8.00,28.00,0.02,97.00,38.27,84.13,,,,,"true"
52.00,"SINGLE PROTEIN","P02748",""," Complement component C9 (CO9_HUMAN)","5","C9",23.97,"false",9.00,31.00,0.04,52.00,63.13,84.08,,,,,"true"
53.00,"SINGLE PROTEIN","P01034",""," Cystatin-C (CYTC_HUMAN)","20","CST3",55.48,"false",9.00,52.00,0.17,9.00,15.79,84.01,,,,,"true"
54.00,"SINGLE PROTEIN","P05546",""," Heparin cofactor 2 (HEP2_HUMAN)","22","SERPIND1",18.44,"true",10.00,16.00,0.01,241.00,57.03,83.96,,,,,"true"
55.00,"SINGLE PROTEIN","P01877",""," Ig alpha-2 chain C region (IGHA2_HUMAN)","14","IGHA2",48.82,"true",19.00,39.00,0.02,120.00,36.50,83.77,,,,,"false"
56.00,"SINGLE PROTEIN","P01871",""," Ig mu chain C region (IGHM_HUMAN)","14","IGHM",35.18,"false",10.00,21.00,0.01,190.00,49.28,83.77,,,,,"true"
57.00,"SINGLE PROTEIN","P08185",""," Corticosteroid-binding globulin (CBG_HUMAN)","14","SERPINA6",22.72,"false",7.00,7.00,0.01,230.00,45.11,83.77,,,,,"true"
58.00,"RELATED AND UNRELATED PROTEINS","P0CG04","B9A064,P0CG05,P0CG06"," Ig lambda-1 chain C regions (LAC1_HUMAN)","22","IGLC1",62.26,"true",7.00,25.00,0.03,85.00,11.34,83.77,,,,,"false"
59.00,"SINGLE PROTEIN","P68871",""," Hemoglobin subunit beta (HBB_HUMAN)","11","HBB",46.94,"false",6.00,6.00,0.02,149.00,15.99,83.77,,,,,"false"
60.00,"SINGLE PROTEIN","P10451",""," Osteopontin (OSTP_HUMAN)","4","SPP1",23.25,"true",5.00,12.00,0.04,62.00,35.40,83.77,,,,,"true"
61.00,"SINGLE PROTEIN","P04433",""," Ig kappa chain V-III region VG (Fragment) (KV309_HUMAN)","","",40.87,"true",5.00,8.00,0.06,23.00,12.57,83.77,,,,,"false"
62.00,"SINGLE PROTEIN","O43505",""," Beta-1,4-glucuronyltransferase 1 (B4GA1_HUMAN)","11","B3GNT1",21.69,"false",5.00,9.00,0.01,185.00,47.09,83.77,,,,,"true"
63.00,"SINGLE PROTEIN","P43652",""," Afamin (AFAM_HUMAN)","4","AFM",14.69,"false",5.00,12.00,0.00,290.00,69.02,83.77,,,,,"true"
64.00,"SINGLE PROTEIN","P01781",""," Ig heavy chain V-III region GAL (HV320_HUMAN)","","",40.52,"false",5.00,15.00,0.07,21.00,12.72,83.77,,,,,"true"
65.00,"SINGLE PROTEIN","Q92823",""," Neuronal cell adhesion molecule (NRCAM_HUMAN)","7","NRCAM",3.91,"true",4.00,5.00,0.00,321.00,143.80,83.77,,,,,"true"
66.00,"SINGLE PROTEIN","P07225",""," Vitamin K-dependent protein S (PROS_HUMAN)","3","PROS1",10.50,"false",4.00,5.00,0.00,318.00,75.07,83.77,,,,,"true"
67.00,"SINGLE PROTEIN","O94985",""," Calsyntenin-1 (CSTN1_HUMAN)","1","CLSTN1",5.20,"true",4.00,17.00,0.02,106.00,109.72,83.77,,,,,"true"
68.00,"SINGLE PROTEIN","P13591",""," Neural cell adhesion molecule 1 (NCAM1_HUMAN)","11","NCAM1",8.62,"false",4.00,8.00,0.01,210.00,94.52,83.77,,,,,"true"
69.00,"SINGLE PROTEIN","Q8TCZ2",""," CD99 antigen-like protein 2 (C99L2_HUMAN)","X","CD99L2",23.66,"true",4.00,13.00,0.03,73.00,27.97,83.77,,,,,"true"
70.00,"SINGLE PROTEIN","P05408",""," Neuroendocrine protein 7B2 (7B2_HUMAN)","15","SCG5",15.57,"true",4.00,25.00,0.12,11.00,23.71,83.77,,,,,"true"
71.00,"SINGLE PROTEIN","P01880",""," Ig delta chain C region (IGHD_HUMAN)","14","IGHD",15.10,"false",4.00,5.00,0.01,205.00,42.23,83.77,,,,,"true"
72.00,"SINGLE PROTEIN","Q13332",""," Receptor-type tyrosine-protein phosphatase S (PTPRS_HUMAN)","19","PTPRS",2.10,"false",4.00,7.00,0.00,355.00,216.90,83.77,,,,,"false"
73.00,"SINGLE PROTEIN","P04180",""," Phosphatidylcholine-sterol acyltransferase (LCAT_HUMAN)","16","LCAT",16.36,"false",4.00,13.00,0.03,68.00,49.55,83.77,,,,,"true"
74.00,"SINGLE PROTEIN","Q14515",""," SPARC-like protein 1 (SPRL1_HUMAN)","4","SPARCL1",10.24,"true",4.00,17.00,0.01,193.00,75.16,83.77,,,,,"true"
75.00,"SINGLE PROTEIN","O15240",""," Neurosecretory protein VGF (VGF_HUMAN)","7","VGF",8.46,"false",4.00,6.00,0.01,269.00,67.22,83.77,,,,,"true"
76.00,"SINGLE PROTEIN","P04004",""," Vitronectin (VTNC_HUMAN)","17","VTN",11.09,"false",4.00,23.00,0.05,39.00,54.27,83.77,,,,,"true"
77.00,"SINGLE PROTEIN","P54289",""," Voltage-dependent calcium channel subunit alpha-2/delta-1 (CA2D1_HUMAN)","7","CACNA2D1",7.80,"true",4.00,9.00,0.01,268.00,124.49,83.77,,,,,"true"
78.00,"SINGLE PROTEIN","Q06481",""," Amyloid-like protein 2 (APLP2_HUMAN)","11","APLP2",4.46,"false",3.00,14.00,0.02,147.00,86.90,83.77,,,,,"false"
79.00,"SINGLE PROTEIN","Q02818",""," Nucleobindin-1 (NUCB1_HUMAN)","19","NUCB1",13.88,"true",3.00,5.00,0.01,234.00,53.85,83.77,,,,,"true"
80.00,"SINGLE PROTEIN","Q96PD5",""," N-acetylmuramoyl-L-alanine amidase (PGRP2_HUMAN)","19","PGLYRP2",10.59,"true",3.00,22.00,0.03,70.00,62.18,83.77,,,,,"true"
81.00,"SINGLE PROTEIN","P00734",""," Prothrombin (THRB_HUMAN)","11","F2",8.04,"false",3.00,3.00,0.00,324.00,69.99,83.77,,,,,"false"
82.00,"SINGLE PROTEIN","Q9UHG2",""," ProSAAS (PCSK1_HUMAN)","X","PCSK1N",13.85,"true",3.00,15.00,0.06,25.00,27.36,83.77,,,,,"true"
83.00,"SINGLE PROTEIN","Q12860",""," Contactin-1 (CNTN1_HUMAN)","12","CNTN1",4.52,"false",3.00,11.00,0.01,275.00,113.25,83.77,,,,,"true"
84.00,"RELATED PROTEINS","P01825","P06331"," Ig heavy chain V-II region NEWM (HV207_HUMAN)","","",13.68,"true",3.00,9.00,0.02,127.00,12.78,83.77,,,,,"false"
85.00,"SINGLE PROTEIN","P08571",""," Monocyte differentiation antigen CD14 (CD14_HUMAN)","5","CD14",10.13,"false",3.00,3.00,0.01,258.00,40.05,83.77,,,,,"true"
86.00,"SINGLE PROTEIN","Q13822",""," Ectonucleotide pyrophosphatase/phosphodiesterase family member 2 (ENPP2_HUMAN)","8","ENPP2",5.68,"true",3.00,13.00,0.01,197.00,98.93,83.77,,,,,"true"
87.00,"SINGLE PROTEIN","P02747",""," Complement C1q subcomponent subunit C (C1QC_HUMAN)","1","C1QC",21.63,"false",3.00,3.00,0.01,249.00,25.76,83.77,,,,,"true"
88.00,"SINGLE PROTEIN","P02750",""," Leucine-rich alpha-2-glycoprotein (A2GL_HUMAN)","19","LRG1",15.56,"false",3.00,26.00,0.09,16.00,38.15,83.77,,,,,"true"
89.00,"SINGLE PROTEIN","P12259",""," Coagulation factor V (FA5_HUMAN)","1","F5",2.25,"false",3.00,9.00,0.00,394.00,251.55,83.77,,,,,"true"
90.00,"SINGLE PROTEIN","P36222",""," Chitinase-3-like protein 1 (CH3L1_HUMAN)","1","CHI3L1",13.05,"false",3.00,10.00,0.02,112.00,42.60,83.77,,,,,"true"
91.00,"RELATED AND UNRELATED PROTEINS","P01625","P06312,P06313,P06314"," Ig kappa chain V-IV region Len (KV402_HUMAN)","","",23.68,"false",3.00,10.00,0.05,32.00,12.63,83.77,,,,,"false"
92.00,"SINGLE PROTEIN","P69905",""," Hemoglobin subunit alpha (HBA_HUMAN)","16","HBA1",25.35,"false",3.00,6.00,0.02,132.00,15.25,83.77,,,,,"false"
93.00,"SINGLE PROTEIN","P07357",""," Complement component C8 alpha chain (CO8A_HUMAN)","1","C8A",13.70,"false",3.00,13.00,0.01,169.00,65.12,83.77,,,,,"false"
94.00,"SINGLE PROTEIN","P04207",""," Ig kappa chain V-III region CLL (KV308_HUMAN)","","",26.36,"true",3.00,8.00,0.05,33.00,14.27,83.77,,,,,"false"
95.00,"SINGLE PROTEIN","Q99435",""," Protein kinase C-binding protein NELL2 (NELL2_HUMAN)","12","NELL2",5.51,"false",3.00,17.00,0.02,143.00,91.28,83.77,,,,,"false"
96.00,"SINGLE PROTEIN","P13671",""," Complement component C6 (CO6_HUMAN)","5","C6",8.03,"false",3.00,8.00,0.00,383.00,104.72,83.77,,,,,"true"
97.00,"SINGLE PROTEIN","P20774",""," Mimecan (MIME_HUMAN)","9","OGN",6.38,"true",3.00,14.00,0.02,150.00,33.90,83.77,,,,,"false"
98.00,"SINGLE PROTEIN","P05156",""," Complement factor I (CFAI_HUMAN)","4","CFI",11.15,"false",3.00,4.00,0.00,308.00,65.71,83.77,,,,,"true"
99.00,"SINGLE PROTEIN","P01611",""," Ig kappa chain V-I region Wes (KV119_HUMAN)","","",31.48,"false",3.00,5.00,0.05,30.00,11.60,83.77,,,,,"false"
100.00,"SINGLE PROTEIN","P01767",""," Ig heavy chain V-III region BUT (HV306_HUMAN)","","",26.09,"false",3.00,14.00,0.08,17.00,12.37,83.77,,,,,"false"
101.00,"SINGLE PROTEIN","P01719",""," Ig lambda chain V-V region DEL (LV501_HUMAN)","","",31.48,"false",3.00,4.00,0.01,179.00,11.34,83.77,,,,,"false"
102.00,"SINGLE PROTEIN","P23470",""," Receptor-type tyrosine-protein phosphatase gamma (PTPRG_HUMAN)","3","PTPRG",3.67,"false",2.00,4.00,0.00,462.00,161.90,83.77,,,,,"false"
103.00,"SINGLE PROTEIN","P78509",""," Reelin (RELN_HUMAN)","7","RELN",1.13,"false",2.00,3.00,0.00,515.00,388.14,83.77,,,,,"false"
104.00,"SINGLE PROTEIN","Q92876",""," Kallikrein-6 (KLK6_HUMAN)","19","KLK6",17.21,"false",2.00,5.00,0.02,134.00,26.84,83.77,,,,,"false"
105.00,"SINGLE PROTEIN","Q92752",""," Tenascin-R (TENR_HUMAN)","1","TNR",3.61,"false",2.00,4.00,0.00,379.00,149.47,83.77,,,,,"false"
106.00,"SINGLE PROTEIN","O94856",""," Neurofascin (NFASC_HUMAN)","1","NFASC",1.71,"false",2.00,3.00,0.00,402.00,149.93,83.77,,,,,"false"
107.00,"SINGLE PROTEIN","P07602",""," Prosaposin (SAP_HUMAN)","10","PSAP",4.96,"true",2.00,10.00,0.01,209.00,58.07,83.77,,,,,"false"
108.00,"SINGLE PROTEIN","Q14112",""," Nidogen-2 (NID2_HUMAN)","14","NID2",4.29,"true",2.00,5.00,0.00,384.00,151.16,83.77,,,,,"false"
109.00,"SINGLE PROTEIN","O00533",""," Neural cell adhesion molecule L1-like protein (NCHL1_HUMAN)","3","CHL1",2.57,"false",2.00,2.00,0.00,419.00,134.99,83.77,,,,,"false"
110.00,"SINGLE PROTEIN","P07358",""," Complement component C8 beta chain (CO8B_HUMAN)","1","C8B",7.45,"false",2.00,5.00,0.01,221.00,67.00,83.77,,,,,"false"
111.00,"SINGLE PROTEIN","P02654",""," Apolipoprotein C-I (APOC1_HUMAN)","19","APOC1",26.51,"false",2.00,3.00,0.05,38.00,9.33,83.77,,,,,"false"
112.00,"SINGLE PROTEIN","P01605",""," Ig kappa chain V-I region Lay (KV113_HUMAN)","","",31.48,"false",2.00,4.00,0.05,37.00,11.83,83.77,,,,,"false"
113.00,"SINGLE PROTEIN","P07998",""," Ribonuclease pancreatic (RNAS1_HUMAN)","14","RNASE1",30.13,"false",2.00,6.00,0.01,213.00,17.63,83.77,,,,,"false"
114.00,"SINGLE PROTEIN","P07942",""," Laminin subunit beta-1 (LAMB1_HUMAN)","7","LAMB1",1.12,"false",2.00,3.00,0.00,400.00,197.91,83.77,,,,,"false"
115.00,"SINGLE PROTEIN","P01717",""," Ig lambda chain V-IV region Hil (LV403_HUMAN)","","",17.76,"true",2.00,6.00,0.05,34.00,11.51,83.77,,,,,"false"
116.00,"SINGLE PROTEIN","Q9NX62",""," Inositol monophosphatase 3 (IMPA3_HUMAN)","8","IMPAD1",7.24,"false",1.00,6.00,0.02,139.00,38.66,83.77,,,,,"false"
117.00,"SINGLE PROTEIN","P24821",""," Tenascin (TENA_HUMAN)","9","TNC",1.36,"false",1.00,3.00,0.00,526.00,240.70,83.77,,,,,"true"
118.00,"SINGLE PROTEIN","P01591",""," Immunoglobulin J chain (IGJ_HUMAN)","4","IGJ",7.55,"false",1.00,6.00,0.02,158.00,18.09,83.77,,,,,"false"
119.00,"SINGLE PROTEIN","P24043",""," Laminin subunit alpha-2 (LAMA2_HUMAN)","6","LAMA2",0.51,"false",1.00,3.00,0.00,519.00,343.68,83.77,,,,,"false"
120.00,"SINGLE PROTEIN","P10809",""," 60 kDa heat shock protein, mitochondrial (CH60_HUMAN)","2","HSPD1",0.00,"false",0.00,0.00,0.00,547.00,61.02,83.77,,,,,"false"
121.00,"SINGLE PROTEIN","Q8WZ42",""," Titin (TITIN_HUMAN)","2","TTN",0.00,"false",0.00,0.00,0.00,547.00,3813.65,83.77,,,,,"true"
122.00,"SINGLE PROTEIN","Q8IVF2",""," Protein AHNAK2 (AHNK2_HUMAN)","14","AHNAK2",0.00,"false",0.00,0.00,0.00,547.00,616.24,83.77,,,,,"false"
123.00,"SINGLE PROTEIN","P00739",""," Haptoglobin-related protein (HPTR_HUMAN)","16","HPR",33.91,"true",17.00,50.00,0.02,126.00,39.00,83.76,,,,,"false"
124.00,"SINGLE PROTEIN","P07195",""," L-lactate dehydrogenase B chain (LDHB_HUMAN)","12","LDHB",14.37,"false",3.00,4.00,0.01,208.00,36.62,83.76,,,,,"false"
125.00,"SINGLE PROTEIN","Q92563",""," Testican-2 (TICN2_HUMAN)","10","SPOCK2",7.55,"false",2.00,3.00,0.01,252.00,46.75,83.76,,,,,"false"
126.00,"SINGLE PROTEIN","P61769",""," Beta-2-microglobulin (B2MG_HUMAN)","15","B2M",37.82,"false",2.00,3.00,0.02,115.00,13.71,83.76,,,,,"false"
127.00,"SINGLE PROTEIN","Q9BRK5",""," 45 kDa calcium-binding protein (CAB45_HUMAN)","1","SDF4",8.56,"false",2.00,4.00,0.01,191.00,41.78,83.76,,,,,"false"
128.00,"SINGLE PROTEIN","P35542",""," Serum amyloid A-4 protein (SAA4_HUMAN)","11","SAA4",20.00,"false",2.00,2.00,0.01,196.00,14.74,83.76,,,,,"false"
129.00,"SINGLE PROTEIN","P32004",""," Neural cell adhesion molecule L1 (L1CAM_HUMAN)","X","L1CAM",3.26,"false",2.00,11.00,0.01,279.00,139.92,83.76,,,,,"false"
130.00,"SINGLE PROTEIN","Q96IY4",""," Carboxypeptidase B2 (CBPB2_HUMAN)","13","CPB2",12.29,"false",2.00,4.00,0.01,242.00,48.39,83.76,,,,,"false"
131.00,"SINGLE PROTEIN","P02656",""," Apolipoprotein C-III (APOC3_HUMAN)","11","APOC3",27.27,"false",2.00,3.00,0.02,122.00,10.85,83.76,,,,,"false"
132.00,"SINGLE PROTEIN","P04216",""," Thy-1 membrane glycoprotein (THY1_HUMAN)","11","THY1",16.15,"false",2.00,6.00,0.04,51.00,17.92,83.76,,,,,"false"
133.00,"SINGLE PROTEIN","P80748",""," Ig lambda chain V-III region LOI (LV302_HUMAN)","","",30.63,"false",2.00,6.00,0.05,35.00,11.93,83.76,,,,,"false"
134.00,"RELATED AND UNRELATED PROTEINS","P61224","A6NIZ1,P62834"," Ras-related protein Rap-1b (RAP1B_HUMAN)","12","RAP1B",14.67,"false",2.00,5.00,0.01,186.00,20.81,83.76,,,,,"false"
135.00,"SINGLE PROTEIN","P13521",""," Secretogranin-2 (SCG2_HUMAN)","2","SCG2",15.40,"true",10.00,48.00,0.03,74.00,70.90,83.69,,,,,"true"
136.00,"SINGLE PROTEIN","P41222",""," Prostaglandin-H2 D-isomerase (PTGDS_HUMAN)","9","PTGDS",43.16,"true",9.00,123.00,0.28,7.00,21.02,83.64,,,,,"true"
137.00,"SINGLE PROTEIN","P02753",""," Retinol-binding protein 4 (RET4_HUMAN)","10","RBP4",50.75,"true",11.00,99.00,0.23,8.00,23.00,83.59,,,,,"true"
138.00,"UNRELATED PROTEINS","P01871","P04220"," Ig mu chain C region (IGHM_HUMAN)","14","IGHM",26.11,"false",7.00,15.00,0.01,271.00,49.28,83.54,,,,,"true"
139.00,"SINGLE PROTEIN","P19652",""," Alpha-1-acid glycoprotein 2 (A1AG2_HUMAN)","9","ORM2",59.20,"false",14.00,105.00,0.10,14.00,23.59,83.49,,,,,"true"
140.00,"SINGLE PROTEIN","P02765",""," Alpha-2-HS-glycoprotein (FETUA_HUMAN)","3","AHSG",32.43,"true",11.00,33.00,0.04,55.00,39.30,83.44,,,,,"true"
141.00,"SINGLE PROTEIN","Q8WXD2",""," Secretogranin-3 (SCG3_HUMAN)","15","SCG3",26.28,"true",8.00,35.00,0.02,123.00,52.97,83.38,,,,,"true"
142.00,"SINGLE PROTEIN","P27169",""," Serum paraoxonase/arylesterase 1 (PON1_HUMAN)","7","PON1",32.96,"true",9.00,39.00,0.07,22.00,39.71,83.33,,,,,"true"
143.00,"SINGLE PROTEIN","P10645",""," Chromogranin-A (CMGA_HUMAN)","14","CHGA",24.07,"true",9.00,88.00,0.11,12.00,50.66,83.28,,,,,"true"
144.00,"SINGLE PROTEIN","P05090",""," Apolipoprotein D (APOD_HUMAN)","3","APOD",41.80,"false",10.00,29.00,0.04,48.00,21.26,83.23,,,,,"true"
