IPI ID;UniProt Accession
IPI00006644;O43157
IPI00006657;O75063
IPI00006662;P05090
IPI00006713;Q13217
IPI00006746;Q8TAM6
IPI00006803;-
IPI00006900;Q9NQZ2
IPI00006967;Q9HC56
IPI00006971;Q9HCU0
IPI00006987;Q9GZR7
IPI00007010;O75951
IPI00007040;Q9UK12
IPI00007047;P05109
IPI00007102;-
IPI00007193;Q9UPS8
IPI00007199;Q9UK55
IPI00007221;P05154
IPI00007236;-
IPI00007240;P05160
IPI00007249;Q9Y6X5
IPI00007257;O94985
IPI00007277;Q9Y608
IPI00007321;O75608
IPI00007402;O95373
IPI00007425;-
IPI00007512;Q9H4Y5
IPI00007617;Q9UKL2
IPI00007682;P38606
IPI00007702;P54652
IPI00007709;Q9UKQ2
IPI00007750;P68366
IPI00007752;P68371
IPI00007778;Q01459
IPI00007797;Q01469
IPI00007798;Q9UKU6
IPI00007812;P21281
IPI00007834;Q01484
IPI00007853;P13284
IPI00007921;Q9P2S2
IPI00007928;Q6P2Q9
IPI00007960;Q15063
IPI00008085;Q9ULF5
IPI00008087;Q8N475
IPI00008091;Q9ULG1
IPI00008107;Q9ULH4
IPI00008148;P56159
IPI00008164;P48147
IPI00008202;Q9UBI9
IPI00008207;Q9UKM7
IPI00008215;P48163
IPI00008223;P54727
IPI00008226;-
IPI00008274;Q01518
IPI00008282;P54750
IPI00008290;P54756
IPI00008303;Q9UK23
IPI00008315;P54762
IPI00008318;P54764
IPI00008404;P54792
IPI00008422;Q9H4L7
IPI00008433;P46782
IPI00008438;P46783
IPI00008494;P05362
IPI00008497;P11926
IPI00008504;Q9ULX7
IPI00008533;Q9ULZ9
IPI00008556;P03951
IPI00008580;P03973
IPI00008586;O95196
IPI00008603;P62736
IPI00008726;P48200
IPI00008756;-
IPI00008780;O76061
IPI00008787;P54802
IPI00008894;Q9UI42
IPI00008905;P54855
IPI00008944;P05408
IPI00008994;Q9UN36
IPI00008997;Q9HC57
IPI00008998;Q9P035
IPI00009028;P05452
IPI00009030;P13473
IPI00009054;P13497
IPI00009070;Q9Y450
IPI00009111;Q13641
IPI00009123;P80303
IPI00009145;O60476
IPI00009148;O95989
IPI00009203;Q9UNH6
IPI00009276;Q9UNN8
IPI00009294;Q9NZV1
IPI00009335;Q9BTY7
IPI00009362;P13521
IPI00009365;Q9P0S2
IPI00009377;-
IPI00009396;P21554
IPI00009439;P21579
IPI00009471;Q9UNX4
IPI00009477;P13598
IPI00009532;P80404
IPI00009771;Q03252
IPI00009793;Q9NZP8
IPI00009802;P13611
IPI00009826;P15086
IPI00009865;P13645
IPI00009867;P13647
IPI00009881;O95467
IPI00009890;P07093
IPI00009899;Q9NYF5
IPI00009901;P61970
IPI00009904;P13667
IPI00009920;-
IPI00009943;-
IPI00009950;Q12907
IPI00009997;O43505
IPI00010118;Q86YD1
IPI00010133;P31146
IPI00010148;P48539
IPI00010154;P31150
IPI00010182;P07108
IPI00010193;P48551
IPI00010207;P61960
IPI00010295;P15169
IPI00010303;P48594
IPI00010343;Q9UPR5
IPI00010346;Q9BYT8
IPI00010348;O00115
IPI00010360;Q01955
IPI00010369;Q9BXT5
IPI00010381;Q9UPU3
IPI00010402;-
IPI00010405;Q01973
IPI00010442;O00168
IPI00010470;P60880
IPI00010471;P13796
IPI00010575;-
IPI00010706;P48637
IPI00010737;P07204
IPI00010790;P21810
IPI00010796;P07237
IPI00010808;P15260
IPI00010810;P13804
IPI00010863;O00244
IPI00010895;O00295
IPI00010896;O00299
IPI00010903;-
IPI00010949;Q9HAT2
IPI00011051;P31314
IPI00011094;Q9BXJ3
IPI00011140;P48745
IPI00011218;P07333
IPI00011229;P07339
IPI00011252;P07357
IPI00011261;P07360
IPI00011264;Q03591
IPI00011302;P13987
IPI00011400;Q13009
IPI00011416;Q13011
IPI00011454;Q14697
IPI00011515;Q9BY11
IPI00011518;P56817
IPI00011564;P31431
IPI00011578;Q9Y639
IPI00011592;O43237
IPI00011605;P23435
IPI00011643;O43278
IPI00011651;P23470
IPI00011654;-
IPI00011662;O43291
IPI00011730;Q9NT22
IPI00011732;O00451
IPI00011781;Q9BZ19
IPI00011865;Q9GZP0
IPI00011899;Q13145
IPI00011994;Q9UJA9
IPI00012007;P23526
IPI00012009;P15509
IPI00012011;P23528
IPI00012044;P56975
IPI00012048;P15531
IPI00012058;P23560
IPI00012075;P23582
IPI00012102;P15586
IPI00012269;Q13201
IPI00012283;Q13214
IPI00012303;Q13228
IPI00012315;Q13232
IPI00012386;O43405
IPI00012391;P25054
IPI00012440;Q9BTY2
IPI00012441;O43426
IPI00012503;P07602
IPI00012510;Q9BXX0
IPI00012545;O43493
IPI00012585;P07686
IPI00012792;P33151
IPI00012877;P17181
IPI00012887;P07711
IPI00012895;O43570
IPI00012948;Q99075
IPI00012989;O00754
IPI00013004;O00764
IPI00013096;O14522
IPI00013162;P41217
IPI00013179;P41222
IPI00013216;Q13416
IPI00013219;Q13418
IPI00013272;Q13439
IPI00013281;Q9H9S5
IPI00013290;Q7Z4V5
IPI00013299;P41271
IPI00013302;Q13444
IPI00013303;Q13449
IPI00013319;Q13702
IPI00013455;P30622
IPI00013466;O43681
IPI00013475;Q13885
IPI00013495;Q8NE71
IPI00013508;P12814
IPI00013569;Q9BXP8
IPI00013681;Q13507
IPI00013682;Q13508
IPI00013698;Q13510
IPI00013701;Q13519
IPI00013749;Q05513
IPI00013847;P31930
IPI00013860;P31937
IPI00013897;O14672
IPI00013933;P15924
IPI00013945;P07911
IPI00013976;P07942
IPI00013978;O43791
IPI00013991;P07951
IPI00014048;P07998
IPI00014223;Q9HCJ2
IPI00014340;Q9BZL4
IPI00014371;Q13634
IPI00014398;Q13642
IPI00014439;P09417
IPI00014444;Q96JX3
IPI00014516;Q05682
IPI00014537;-
IPI00014572;P09486
IPI00014592;O15335
IPI00014850;Q15121
IPI00014899;-
IPI00014964;-
IPI00015047;-
IPI00015049;Q96B86
IPI00015102;Q13740
IPI00015148;P61224
IPI00015260;Q99435
IPI00015285;Q99447
IPI00015315;O94769
IPI00015346;Q9HCU4
IPI00015351;Q9GZP4
IPI00015479;Q9H741
IPI00015522;P43026
IPI00015525;Q9H8L6
IPI00015688;P35052
IPI00015756;Q15262
IPI00015842;Q15293
IPI00015881;P09603
IPI00015902;P09619
IPI00015911;P09622
IPI00015913;P17643
IPI00015954;Q9NR31
IPI00015964;P17677
IPI00015973;O43491
IPI00015980;-
IPI00015983;Q99500
IPI00015988;P17693
IPI00016014;Q9NQX7
IPI00016112;Q92626
IPI00016150;Q99574
IPI00016334;P43121
IPI00016371;Q15303
IPI00016422;P43146
IPI00016467;O94933
IPI00016576;Q6ISB3
IPI00016577;-
IPI00016605;Q9NWV4
IPI00016621;O94973
IPI00016645;Q15375
IPI00016666;P25713
IPI00016679;O94991
IPI00016685;Q9NRM1
IPI00016701;Q15391
IPI00016862;P00390
IPI00016870;Q05996
IPI00016915;Q16270
IPI00016949;Q9Y6R1
IPI00017163;Q9P2P5
IPI00017256;Q15404
IPI00017257;P43234
IPI00017334;P35232
IPI00017529;P19256
IPI00017557;Q6FHJ7
IPI00017562;O95490
IPI00017567;P17813
IPI00017569;Q9BWQ8
IPI00017601;P00450
IPI00017659;Q6JBY9
IPI00017696;P09871
IPI00017704;Q14019
IPI00017745;Q99727
IPI00017841;Q99784
IPI00017940;Q68DH5
IPI00017964;P62318
IPI00017968;P35318
IPI00018027;Q8N302
IPI00018098;Q5VTL8
IPI00018136;P19320
IPI00018146;P27348
IPI00018206;P00505
IPI00018208;Q6PID6
IPI00018219;Q15582
IPI00018236;P17900
IPI00018246;P19367
IPI00018274;P00533
IPI00018275;Q9UKY0
IPI00018305;P17936
IPI00018311;Q9Y639
IPI00018342;P00568
IPI00018352;P09936
IPI00018381;O43897
IPI00018387;P09958
IPI00018396;Q9NTU7
IPI00018429;Q99811
IPI00018534;Q99880
IPI00018708;Q96MT8
IPI00018755;-
IPI00018769;P35442
IPI00018803;-
IPI00018843;P35462
IPI00018860;Q9BZM5
IPI00018879;P35475
IPI00018909;Q07654
IPI00018914;Q15678
IPI00018941;P10092
IPI00018980;Q07699
IPI00019038;P61626
IPI00019146;P78310
IPI00019157;Q6UVK1
IPI00019158;P78325
IPI00019176;Q99969
IPI00019180;P78333
IPI00019190;Q99972
IPI00019208;-
IPI00019209;-
IPI00019242;P51511
IPI00019359;P35527
IPI00019372;P10124
IPI00019399;P35542
IPI00019449;P10153
IPI00019485;Q86YB7
IPI00019501;Q15768
IPI00019502;P35579
IPI00019530;P35590
IPI00019533;Q15782
IPI00019568;P00734
IPI00019576;P00742
IPI00019580;P00747
IPI00019581;P00748
IPI00019591;-
IPI00019600;Q15819
IPI00019755;P78417
IPI00019771;P78423
IPI00019812;P53041
IPI00019862;Q7KYR7
IPI00019888;P51649
IPI00019901;P35611
IPI00019904;P35612
IPI00019906;P35613
IPI00019907;P51654
IPI00019943;P43652
IPI00019954;Q15828
IPI00019988;P51688
IPI00020008;Q15843
IPI00020012;P51693
IPI00020019;Q15848
IPI00020058;P35670
IPI00020091;P19652
IPI00020131;Q07889
IPI00020199;Q92186
IPI00020201;Q92187
IPI00020329;Q9ULS6
IPI00020356;P78559
IPI00020396;P29122
IPI00020407;Q09328
IPI00020431;P37173
IPI00020470;Q68CQ7
IPI00020501;P35749
IPI00020557;Q07954
IPI00020599;P27797
IPI00020672;Q9NY33
IPI00020692;Q9NY46
IPI00020747;Q9NY72
IPI00020884;P51805
IPI00020906;P29218
IPI00020966;P37287
IPI00020977;P29279
IPI00020984;-
IPI00020986;P51884
IPI00020987;P51888
IPI00020990;Q99983
IPI00020996;P35858
IPI00021000;P10451
IPI00021033;P02461
IPI00021048;Q9NZM1
IPI00021091;O95970
IPI00021119;O43916
IPI00021199;Q9NZ72
IPI00021263;P63104
IPI00021274;P29322
IPI00021275;P29323
IPI00021304;P35908
IPI00021327;P62993
IPI00021347;P68036
IPI00021363;P29375
IPI00021364;P27918
IPI00021447;P19961
IPI00021476;O60516
IPI00021485;Q6UXK5
IPI00021552;O75752
IPI00021594;O43292
IPI00021634;Q9H0B6
IPI00021695;P20020
IPI00021727;P04003
IPI00021733;Q9H3R1
IPI00021753;Q9NQT8
IPI00021766;Q9NQC3
IPI00021770;P04035
IPI00021794;P10619
IPI00021812;Q09666
IPI00021817;P04070
IPI00021831;P10644
IPI00021833;P04085
IPI00021834;P10646
IPI00021841;P02647
IPI00021842;P02649
IPI00021854;P02652
IPI00021855;P02654
IPI00021856;P02655
IPI00021857;P02656
IPI00021885;P02671
IPI00021891;P02679
IPI00021900;O43508
IPI00021903;O75077
IPI00021907;P02686
IPI00021951;Q92537
IPI00021983;Q92542
IPI00021985;Q92544
IPI00021997;O75629
IPI00022039;Q9UIB8
IPI00022055;Q92831
IPI00022078;Q92597
IPI00022229;P04114
IPI00022277;Q9Y2R0
IPI00022284;P04156
IPI00022295;P10720
IPI00022296;P10721
IPI00022314;P04179
IPI00022331;P04180
IPI00022333;O14514
IPI00022337;P10745
IPI00022361;-
IPI00022367;O14525
IPI00022371;P04196
IPI00022389;P02741
IPI00022391;P02743
IPI00022392;P02745
IPI00022394;P02747
IPI00022395;P02748
IPI00022417;P02750
IPI00022420;P02753
IPI00022426;P02760
IPI00022429;P02763
IPI00022431;-
IPI00022432;P02766
IPI00022434;-
IPI00022445;P02775
IPI00022462;P02786
IPI00022463;P02787
IPI00022488;P02790
IPI00022542;Q13464
IPI00022606;O43586
IPI00022608;Q92673
IPI00022640;Q92686
IPI00022649;P55011
IPI00022674;Q99650
IPI00022774;P55072
IPI00022792;P55083
IPI00022810;P53634
IPI00022822;P39060
IPI00022890;P04211
IPI00022891;P12235
IPI00022892;P04216
IPI00022895;P04217
IPI00022937;-
IPI00022958;-
IPI00022959;Q9NQS3
IPI00022977;P12277
IPI00022989;P10826
IPI00023014;P04275
IPI00023019;P04278
IPI00023087;Q9NPD8
IPI00023152;Q9UQQ1
IPI00023162;Q9Y223
IPI00023184;Q9Y6F1
IPI00023191;-
IPI00023217;Q92736
IPI00023315;P55107
IPI00023322;-
IPI00023340;Q92794
IPI00023359;Q8IVS2
IPI00023407;P55160
IPI00023505;P12318
IPI00023513;Q96EP1
IPI00023542;Q9BVK6
IPI00023576;O43300
IPI00023598;P04350
IPI00023643;Q9H3T2
IPI00023648;O14498
IPI00023673;Q08380
IPI00023728;Q92820
IPI00023751;O14793
IPI00023754;-
IPI00023780;Q9H3Z4
IPI00023807;Q92854
IPI00023814;Q92859
IPI00023824;-
IPI00023845;Q92876
IPI00023858;-
IPI00023942;-
IPI00024012;O75084
IPI00024032;Q9UFV1
IPI00024034;P55283
IPI00024035;P55285
IPI00024036;P55286
IPI00024046;-
IPI00024048;P55291
IPI00024067;Q00610
IPI00024094;Q02094
IPI00024105;Q9BXJ0
IPI00024107;P37840
IPI00024129;P45877
IPI00024138;-
IPI00024248;Q92911
IPI00024253;Q92915
IPI00024272;P98153
IPI00024273;P98155
IPI00024284;P98160
IPI00024307;P98172
IPI00024346;Q92966
IPI00024466;Q9NYU2
IPI00024502;Q9NRR5
IPI00024570;Q9NS98
IPI00024572;Q12797
IPI00024580;Q96RQ3
IPI00024587;Q9NYX4
IPI00024601;Q9NS85
IPI00024621;Q9NRN5
IPI00024662;P45973
IPI00024664;P45974
IPI00024689;P29972
IPI00024704;Q9Y2C2
IPI00024766;O60486
IPI00024802;O14981
IPI00024818;Q5W0Q7
IPI00024825;Q92954
IPI00024853;Q9BXM0
IPI00024887;P22004
IPI00024919;P30048
IPI00024920;P30049
IPI00024929;Q9H6B4
IPI00024966;Q02246
IPI00024976;Q9NS69
IPI00025019;P20618
IPI00025084;P04632
IPI00025092;Q00872
IPI00025094;-
IPI00025110;Q13421
IPI00025204;O43866
IPI00025252;P30101
IPI00025257;O75326
IPI00025276;P22105
IPI00025311;O75363
IPI00025318;O75368
IPI00025363;P14136
IPI00025365;P14138
IPI00025426;P20742
IPI00025447;-
IPI00025465;P20774
IPI00025473;Q00973
IPI00025476;P04746
IPI00025499;P10636
IPI00025622;O76080
IPI00025647;O94952
IPI00025700;P30203
IPI00025809;-
IPI00025812;O75493
IPI00025818;Q10472
IPI00025840;P20827
IPI00025846;Q02487
IPI00025864;P06276
IPI00025869;P06280
IPI00025992;P81172
IPI00026031;Q9NU53
IPI00026050;-
IPI00026103;-
IPI00026104;P22304
IPI00026125;P49184
IPI00026154;P14314
IPI00026174;P06307
IPI00026197;-
IPI00026199;P22352
IPI00026216;P55786
IPI00026230;P55795
IPI00026237;P20916
IPI00026240;Q10588
IPI00026241;Q10589
IPI00026259;P20933
IPI00026262;P20936
IPI00026270;P14384
IPI00026285;O43173
IPI00026299;P04921
IPI00026314;P06396
IPI00026358;P60520
IPI00026530;P49257
IPI00026546;P68402
IPI00026570;-
IPI00026612;O75688
IPI00026665;-
IPI00026800;O75711
IPI00026944;P14543
IPI00026946;P47972
IPI00026991;Q8NCL4
IPI00027009;Q9UNF0
IPI00027038;Q9Y279
IPI00027078;O75976
IPI00027087;-
IPI00027166;P16035
IPI00027174;P22607
IPI00027192;-
IPI00027223;O75874
IPI00027230;P14625
IPI00027239;O75888
IPI00027248;O75896
IPI00027264;P22676
IPI00027310;Q7Z7M0
IPI00027341;P40121
IPI00027350;P32119
IPI00027377;-
IPI00027429;-
IPI00027438;O75955
IPI00027444;P30740
IPI00027457;O75973
IPI00027462;P06702
IPI00027463;P06703
IPI00027464;P63098
IPI00027466;P22748
IPI00027482;P08185
IPI00027493;P08195
IPI00027497;P06744
IPI00027507;Q02985
IPI00027547;P81605
IPI00027626;P40227
IPI00027685;P32246
IPI00027703;P49641
IPI00027721;P16234
IPI00027726;P57682
IPI00027744;P08235
IPI00027780;P08253
IPI00027782;P08254
IPI00027806;Q9H336
IPI00027827;P08294
IPI00027834;P14866
IPI00027847;P06858
IPI00027848;P22897
IPI00027851;P06865
IPI00027875;Q9BT88
IPI00027898;Q9NSI2
IPI00027972;Q8N149
IPI00027984;-
IPI00028015;Q6GTX8
IPI00028053;P57773
IPI00028082;O95980
IPI00028193;-
IPI00028381;Q6UY11
IPI00028383;Q9BQD7
IPI00028387;Q96HY6
IPI00028413;Q06033
IPI00028448;O60242
IPI00028450;P32418
IPI00028481;P61006
IPI00028520;P49821
IPI00028553;Q9UNW1
IPI00028561;O60282
IPI00028600;P49862
IPI00028601;-
IPI00028614;-
IPI00028714;P08493
IPI00028786;P98161
IPI00028908;Q14112
IPI00028911;Q14118
IPI00028912;Q14119
IPI00028931;Q14126
IPI00028932;O60307
IPI00029012;Q14152
IPI00029046;Q14165
IPI00029050;O95461
IPI00029061;P49908
IPI00029107;Q14191
IPI00029123;P24530
IPI00029131;P16519
IPI00029168;P08519
IPI00029175;Q12768
IPI00029193;Q04756
IPI00029235;P24592
IPI00029236;P24593
IPI00029260;P08571
IPI00029273;P08581
IPI00029275;P08582
IPI00029343;Q9UHC6
IPI00029372;Q68CZ6
IPI00029533;P26012
IPI00029556;O95561
IPI00029591;Q14242
IPI00029605;P34059
IPI00029606;P78536
IPI00029623;P60900
IPI00029647;O60844
IPI00029658;Q12805
IPI00029693;O60462
IPI00029699;P34096
IPI00029700;O60469
IPI00029722;Q12840
IPI00029723;Q12841
IPI00029739;P08603
IPI00029751;Q12860
IPI00029756;Q12866
IPI00029817;Q99519
IPI00029819;Q9UM47
IPI00029863;-
IPI00029928;-
IPI00029997;O95336
IPI00030009;O95340
IPI00030037;P42127
IPI00030075;Q14314
IPI00030111;O95390
IPI00030205;P18135
IPI00030255;O60568
IPI00030319;Q12947
IPI00030352;-
IPI00030431;Q9H6X2
IPI00030634;Q9UJ14
IPI00030706;O95433
IPI00030739;O95445
IPI00030741;O95447
IPI00030757;O95450
IPI00030847;Q9HD45
IPI00030871;O95497
IPI00030876;-
IPI00030877;O60613
IPI00030882;P42262
IPI00030887;Q06418
IPI00030919;Q9UHA4
IPI00031005;Q9H5K3
IPI00031008;P24821
IPI00031019;O60676
IPI00031030;Q06481
IPI00031086;P08833
IPI00031121;P16870
IPI00031131;Q9HDC9
IPI00031411;-
IPI00031461;-
IPI00031485;Q9BQC6
IPI00031506;O60741
IPI00031510;Q14563
IPI00031534;Q9NSC7
IPI00031547;P32926
IPI00031549;Q14574
IPI00031564;O75223
IPI00031627;P24928
IPI00031696;Q14CZ7
IPI00031708;P16930
IPI00031718;Q9Y227
IPI00031765;Q9Y5F7
IPI00031769;Q9H1Z8
IPI00031789;Q9NPH3
IPI00031821;Q9Y287
IPI00031907;Q6UXF1
IPI00032050;Q969T9
IPI00032063;Q9NZR2
IPI00032179;P01008
IPI00032187;Q9Y2I1
IPI00032220;P01019
IPI00032227;Q9Y2J0
IPI00032258;P0C0L4
IPI00032288;Q9H8J5
IPI00032291;P01031
IPI00032292;P01033
IPI00032293;P01034
IPI00032311;P18428
IPI00032313;P26447
IPI00032328;P01042
IPI00032338;Q9Y2M5
IPI00032405;O60883
IPI00032416;Q9Y219
IPI00032425;O60896
IPI00032532;Q14393
IPI00032597;Q9Y388
IPI00032826;P50502
IPI00032830;Q9Y3B8
IPI00032904;Q16143
IPI00033030;Q16186
IPI00033419;Q9UK73
IPI00033466;Q9Y240
IPI00033560;Q15256
IPI00033600;Q15435
IPI00034006;Q9H3S7
IPI00034319;O60888
IPI00038378;Q9UHY7
IPI00040730;Q96JP9
IPI00040900;Q7LGA3
IPI00043201;Q9HC77
IPI00043215;Q8N6C5
IPI00043731;Q96NL0
IPI00043756;Q504Y0
IPI00043810;Q99946
IPI00043978;Q8TEW8
IPI00044326;Q8NCH0
IPI00044369;Q6UX71
IPI00044600;Q96PQ0
IPI00044607;Q96PQ5
IPI00044707;Q86UW8
IPI00044743;Q14DG7
IPI00044751;Q96Q89
IPI00044842;Q96QF0
IPI00045219;Q96RF0
IPI00045360;Q96RK0
IPI00045511;Q96S66
IPI00045536;Q9BWS9
IPI00045839;Q32P28
IPI00045841;Q86VZ4
IPI00045928;Q96T83
IPI00045939;Q96SZ5
IPI00046057;P61764
IPI00056314;Q969E8
IPI00056357;Q969H8
IPI00056478;Q969P0
IPI00059164;Q96A11
IPI00059395;Q96AC6
IPI00060146;Q96C03
IPI00060265;Q96BV0
IPI00060308;Q9NR12
IPI00060310;-
IPI00060546;Q96D05
IPI00060715;Q96CX2
IPI00061354;Q9UIF8
IPI00061448;-
IPI00061507;Q9H0W9
IPI00061520;Q6UX72
IPI00061977;-
IPI00062037;Q96FJ2
IPI00062730;Q96MC5
IPI00063048;Q96JF0
IPI00063827;Q96IU4
IPI00064241;Q9H2S9
IPI00064296;-
IPI00064377;Q969Z4
IPI00064607;Q96KG7
IPI00064652;-
IPI00064667;Q96KN2
IPI00064935;Q96L96
IPI00065276;Q9BZE9
IPI00065312;Q76KP1
IPI00065931;Q12802
IPI00069058;-
IPI00071185;P21127
IPI00071824;Q8WWK9
IPI00072917;P12111
IPI00073763;Q9C0C4
IPI00075013;-
IPI00075248;P62158
IPI00081836;Q96KK5
IPI00090764;Q15399
IPI00098902;Q02218
IPI00099650;P78504
IPI00099670;P19835
IPI00099838;Q9NPH0
IPI00100154;Q9H0E2
IPI00100980;Q9NZN4
IPI00101608;Q96HD1
IPI00101927;Q9BRK4
IPI00102435;Q96P44
IPI00102543;Q96PX8
IPI00102575;Q96QE3
IPI00102678;Q96RV3
IPI00102808;Q8WTR2
IPI00103175;Q8WVQ1
IPI00103471;Q8WWX9
IPI00103510;Q8WXD0
IPI00103552;Q8WXI7
IPI00103597;Q8WY21
IPI00103630;Q8WY54
IPI00103755;Q6UXZ4
IPI00103853;Q8N0V3
IPI00103871;Q8WZ75
IPI00103874;Q9HBF4
IPI00103891;-
IPI00104074;Q86VB7
IPI00104907;Q6P0N0
IPI00106502;Q14145
IPI00106506;Q9BQ95
IPI00106646;Q9BRK5
IPI00107731;Q8IYS5
IPI00107831;P10586
IPI00107886;-
IPI00141938;Q71UI9
IPI00143753;O15042
IPI00144243;P31629
IPI00145805;Q9UKE5
IPI00149044;Q6N043
IPI00149097;Q9H3S1
IPI00149375;Q8N612
IPI00150881;Q5SZL2
IPI00151036;O43567
IPI00151990;Q96J42
IPI00152050;Q9NWB1
IPI00152072;Q8TAL6
IPI00152145;Q8TAX0
IPI00152182;Q8TBB5
IPI00152216;Q7Z5B4
IPI00152326;P09488
IPI00152344;Q8TCD6
IPI00152418;P08174
IPI00152470;Q8TCW9
IPI00152524;Q8TDF5
IPI00152540;Q6YHK3
IPI00152769;Q8TEL6
IPI00152847;Q8TEU8
IPI00152849;Q8WWL7
IPI00152850;Q9BX67
IPI00153049;Q9BRK3
IPI00154528;Q96SB8
IPI00154734;Q53EL9
IPI00154742;P0CG05
IPI00154858;Q5VY43
IPI00155447;-
IPI00155729;Q9ULL4
IPI00156171;Q13822
IPI00157414;Q6UWR7
