# NetGPI 1.1	Timestamp: 20221114110322
# ID	Seq-length	Pred. GPI-Anchored	Omega-site pos.	Likelihood	Amino-acid
sp_Q9Y5X5_NPFF2_HUMAN	522	Not GPI-Anchored	-	0.991	*
sp_O75200_NPIB7_HUMAN	414	Not GPI-Anchored	-	0.995	*
sp_Q6U736_OPN5_HUMAN	354	Not GPI-Anchored	-	0.996	*
sp_Q8NGL0_OR5L2_HUMAN	311	Not GPI-Anchored	-	0.988	*
sp_Q8NH09_OR8S1_HUMAN	359	Not GPI-Anchored	-	0.987	*
sp_Q8NGQ1_OR9G4_HUMAN	327	Not GPI-Anchored	-	0.993	*
sp_Q9BRQ5_ORAI3_HUMAN	295	Not GPI-Anchored	-	0.967	*
sp_Q8NGA0_OR7G1_HUMAN	311	Not GPI-Anchored	-	0.987	*
sp_Q9NPH6_OBP2B_HUMAN	170	Not GPI-Anchored	-	0.996	*
sp_Q96RD0_OR8B2_HUMAN	313	Not GPI-Anchored	-	0.992	*
sp_Q9NZP2_OR6C2_HUMAN	312	Not GPI-Anchored	-	0.994	*
sp_Q8NGY5_OR6N1_HUMAN	312	Not GPI-Anchored	-	0.987	*
sp_Q8NGQ2_OR6Q1_HUMAN	317	Not GPI-Anchored	-	0.989	*
sp_Q96RB7_OR5MB_HUMAN	305	Not GPI-Anchored	-	0.993	*
sp_Q8NGZ6_OR6F1_HUMAN	308	Not GPI-Anchored	-	0.992	*
sp_A6NMS3_OR5K4_HUMAN	321	Not GPI-Anchored	-	0.959	*
sp_Q9H3Y8_PPDPF_HUMAN	114	Not GPI-Anchored	-	0.983	*
sp_Q9NQX5_NPDC1_HUMAN	325	Not GPI-Anchored	-	0.991	*
sp_Q9UHC9_NPCL1_HUMAN	1359	Not GPI-Anchored	-	0.993	*
sp_P20264_PO3F3_HUMAN	500	Not GPI-Anchored	-	0.994	*
sp_A0A1B0GWB2_PRT1B_HUMAN	263	Not GPI-Anchored	-	0.196	*
sp_Q3KNS1_PTHD3_HUMAN	767	Not GPI-Anchored	-	0.941	*
sp_P98161_PKD1_HUMAN	4303	Not GPI-Anchored	-	0.992	*
sp_Q8N8J0_PI4P1_HUMAN	262	Not GPI-Anchored	-	0.994	*
sp_Q15126_PMVK_HUMAN	192	Not GPI-Anchored	-	0.994	*
sp_Q96GW7_PGCB_HUMAN	911	Not GPI-Anchored	-	0.994	*
sp_P10720_PF4V_HUMAN	104	Not GPI-Anchored	-	0.988	*
sp_O60925_PFD1_HUMAN	122	Not GPI-Anchored	-	0.995	*
sp_P14222_PERF_HUMAN	555	Not GPI-Anchored	-	0.991	*
sp_Q3KNV8_PCGF3_HUMAN	242	Not GPI-Anchored	-	0.992	*
sp_Q92968_PEX13_HUMAN	403	Not GPI-Anchored	-	0.994	*
sp_P04637_P53_HUMAN	393	Not GPI-Anchored	-	0.981	*
sp_A0A096LPK9_ORN4C_HUMAN	316	Not GPI-Anchored	-	0.985	*
sp_Q9HBI0_PARVG_HUMAN	331	Not GPI-Anchored	-	0.984	*
sp_P30559_OXYR_HUMAN	389	Not GPI-Anchored	-	0.989	*
sp_Q96P68_OXGR1_HUMAN	337	Not GPI-Anchored	-	0.993	*
sp_O00398_P2Y10_HUMAN	339	Not GPI-Anchored	-	0.987	*
sp_Q6IE37_OVOS1_HUMAN	1185	Not GPI-Anchored	-	0.995	*
sp_A0A0J9YX94_PMA6F_HUMAN	578	Not GPI-Anchored	-	0.994	*
sp_Q9Y6X2_PIAS3_HUMAN	628	Not GPI-Anchored	-	0.991	*
sp_Q5MIZ7_P4R3B_HUMAN	849	Not GPI-Anchored	-	0.974	*
sp_O00469_PLOD2_HUMAN	737	Not GPI-Anchored	-	0.994	*
sp_P31350_RIR2_HUMAN	389	Not GPI-Anchored	-	0.993	*
sp_Q6ZS11_RINL_HUMAN	566	Not GPI-Anchored	-	0.974	*
sp_Q99496_RING2_HUMAN	336	Not GPI-Anchored	-	0.996	*
sp_Q6ZV50_RFX8_HUMAN	586	Not GPI-Anchored	-	0.992	*
sp_Q01201_RELB_HUMAN	579	Not GPI-Anchored	-	0.993	*
sp_P28062_PSB8_HUMAN	276	Not GPI-Anchored	-	0.994	*
sp_Q00887_PSG9_HUMAN	426	Not GPI-Anchored	-	0.986	*
sp_O75626_PRDM1_HUMAN	825	Not GPI-Anchored	-	0.995	*
sp_Q9Y6C5_PTC2_HUMAN	1203	Not GPI-Anchored	-	0.989	*
sp_Q8WY50_PLAC4_HUMAN	150	Not GPI-Anchored	-	0.990	*
sp_Q13393_PLD1_HUMAN	1074	Not GPI-Anchored	-	0.995	*
sp_Q86V59_PNM8A_HUMAN	439	Not GPI-Anchored	-	0.995	*
sp_Q9Y4G2_PKHM1_HUMAN	1056	Not GPI-Anchored	-	0.994	*
sp_Q3KR16_PKHG6_HUMAN	790	Not GPI-Anchored	-	0.992	*
sp_Q92871_PMM1_HUMAN	262	Not GPI-Anchored	-	0.993	*
sp_Q9Y5B6_PAXB1_HUMAN	917	Not GPI-Anchored	-	0.995	*
sp_P27708_PYR1_HUMAN	2225	Not GPI-Anchored	-	0.364	*
sp_P35236_PTN7_HUMAN	360	Not GPI-Anchored	-	0.994	*
sp_Q8NGX0_O11L1_HUMAN	322	Not GPI-Anchored	-	0.990	*
sp_Q8NH95_O13C6_HUMAN	151	Not GPI-Anchored	-	0.984	*
sp_Q9Y466_NR2E1_HUMAN	385	Not GPI-Anchored	-	0.992	*
sp_Q9NPI5_NRK2_HUMAN	230	Not GPI-Anchored	-	0.993	*
sp_Q86WQ0_NR2CA_HUMAN	139	Not GPI-Anchored	-	0.994	*
sp_Q96I34_PP16A_HUMAN	528	Not GPI-Anchored	-	0.990	*
sp_P62166_NCS1_HUMAN	190	Not GPI-Anchored	-	0.981	*
sp_Q9NVZ3_NECP2_HUMAN	263	Not GPI-Anchored	-	0.991	*
sp_Q9Y239_NOD1_HUMAN	953	Not GPI-Anchored	-	0.996	*
sp_P08651_NFIC_HUMAN	508	Not GPI-Anchored	-	0.993	*
sp_P26718_NKG2D_HUMAN	216	Not GPI-Anchored	-	0.995	*
sp_Q8N183_NDUF2_HUMAN	169	Not GPI-Anchored	-	0.994	*
sp_P11055_MYH3_HUMAN	1940	Not GPI-Anchored	-	0.996	*
sp_Q5W5W9_RES18_HUMAN	228	Not GPI-Anchored	-	0.987	*
sp_O94810_RGS11_HUMAN	467	Not GPI-Anchored	-	0.990	*
sp_Q6ZW05_PTHD4_HUMAN	846	Not GPI-Anchored	-	0.992	*
sp_B2RN74_O11HC_HUMAN	326	Not GPI-Anchored	-	0.985	*
sp_Q68BL8_OLM2B_HUMAN	750	Not GPI-Anchored	-	0.989	*
sp_Q9BRP8_PYM1_HUMAN	204	Not GPI-Anchored	-	0.994	*
sp_O60403_O10H2_HUMAN	315	Not GPI-Anchored	-	0.988	*
sp_Q8N2H3_PYRD2_HUMAN	581	Not GPI-Anchored	-	0.992	*
sp_Q8WU10_PYRD1_HUMAN	500	Not GPI-Anchored	-	0.993	*
sp_Q8TCG2_P4K2B_HUMAN	481	Not GPI-Anchored	-	0.992	*
sp_Q9BTU6_P4K2A_HUMAN	479	Not GPI-Anchored	-	0.994	*
sp_Q02548_PAX5_HUMAN	391	Not GPI-Anchored	-	0.990	*
sp_P15863_PAX1_HUMAN	534	Not GPI-Anchored	-	0.958	*
sp_A0A075B767_PAL4H_HUMAN	164	Not GPI-Anchored	-	0.994	*
sp_Q9ULE6_PALD_HUMAN	856	Not GPI-Anchored	-	0.993	*
sp_P30039_PBLD_HUMAN	288	Not GPI-Anchored	-	0.988	*
sp_Q86WC4_OSTM1_HUMAN	334	Not GPI-Anchored	-	0.961	*
sp_Q86UW2_OSTB_HUMAN	128	Not GPI-Anchored	-	0.985	*
sp_A6NGG8_PCARE_HUMAN	1288	Not GPI-Anchored	-	0.986	*
sp_Q8NF37_PCAT1_HUMAN	534	Not GPI-Anchored	-	0.993	*
sp_Q8NBR0_P5I13_HUMAN	393	Not GPI-Anchored	-	0.987	*
sp_I0J062_PANO1_HUMAN	215	Not GPI-Anchored	-	0.990	*
sp_Q12857_NFIA_HUMAN	509	Not GPI-Anchored	-	0.993	*
sp_Q969F2_NKD2_HUMAN	451	Not GPI-Anchored	-	0.986	*
sp_Q8IW45_NNRD_HUMAN	347	Not GPI-Anchored	-	0.991	*
sp_Q9BS92_NPS3B_HUMAN	247	Not GPI-Anchored	-	0.989	*
sp_Q9Y2I6_NINL_HUMAN	1382	Not GPI-Anchored	-	0.989	*
sp_P40261_NNMT_HUMAN	264	Not GPI-Anchored	-	0.990	*
sp_Q14934_NFAC4_HUMAN	902	Not GPI-Anchored	-	0.993	*
sp_P26717_NKG2C_HUMAN	231	Not GPI-Anchored	-	0.993	*
sp_Q9H6R4_NOL6_HUMAN	1146	Not GPI-Anchored	-	0.995	*
sp_P48681_NEST_HUMAN	1621	Not GPI-Anchored	-	0.989	*
sp_Q9P0J0_NDUAD_HUMAN	144	Not GPI-Anchored	-	0.994	*
sp_P60660_MYL6_HUMAN	151	Not GPI-Anchored	-	0.985	*
sp_P24844_MYL9_HUMAN	172	Not GPI-Anchored	-	0.988	*
sp_Q96RQ3_MCCA_HUMAN	725	Not GPI-Anchored	-	0.995	*
sp_Q5U5X0_LYRM7_HUMAN	104	Not GPI-Anchored	-	0.995	*
sp_Q5W064_LIPJ_HUMAN	366	Not GPI-Anchored	-	0.994	*
sp_P16233_LIPP_HUMAN	465	Not GPI-Anchored	-	0.992	*
sp_Q9UPQ0_LIMC1_HUMAN	1083	Not GPI-Anchored	-	0.991	*
sp_P06858_LIPL_HUMAN	475	Not GPI-Anchored	-	0.984	*
sp_Q92621_NU205_HUMAN	2012	Not GPI-Anchored	-	0.989	*
sp_Q6W5P4_NPSR1_HUMAN	371	Not GPI-Anchored	-	0.995	*
sp_Q8IYG6_LRC56_HUMAN	542	Not GPI-Anchored	-	0.993	*
sp_P78549_NTH_HUMAN	312	Not GPI-Anchored	-	0.993	*
sp_Q15077_P2RY6_HUMAN	328	Not GPI-Anchored	-	0.995	*
sp_A0A0B4J2A2_PAL4C_HUMAN	164	Not GPI-Anchored	-	0.994	*
sp_A8CG34_P121C_HUMAN	1229	Not GPI-Anchored	-	0.994	*
sp_Q32P28_P3H1_HUMAN	736	Not GPI-Anchored	-	0.994	*
sp_Q92882_OSTF1_HUMAN	214	Not GPI-Anchored	-	0.983	*
sp_Q7RTZ1_OVCH2_HUMAN	564	Not GPI-Anchored	-	0.385	*
sp_Q7RTY7_OVCH1_HUMAN	1134	Not GPI-Anchored	-	0.974	*
sp_Q9BYU1_PBX4_HUMAN	374	Not GPI-Anchored	-	0.972	*
sp_Q7Z3H0_PANKY_HUMAN	452	Not GPI-Anchored	-	0.994	*
sp_Q9BZF1_OSBL8_HUMAN	889	GPI-Anchored	857	0.375	S
sp_Q96RD7_PANX1_HUMAN	426	Not GPI-Anchored	-	0.985	*
sp_Q8NGS5_O13C4_HUMAN	318	Not GPI-Anchored	-	0.991	*
sp_Q8NGS7_O13C8_HUMAN	320	Not GPI-Anchored	-	0.991	*
sp_Q14995_NR1D2_HUMAN	579	Not GPI-Anchored	-	0.995	*
sp_Q15466_NR0B2_HUMAN	257	Not GPI-Anchored	-	0.768	*
sp_Q96CX6_LRC58_HUMAN	371	Not GPI-Anchored	-	0.990	*
sp_P60014_KR10A_HUMAN	251	Not GPI-Anchored	-	0.984	*
sp_Q9Y5F9_PCDGI_HUMAN	930	Not GPI-Anchored	-	0.994	*
sp_Q92947_GCDH_HUMAN	438	Not GPI-Anchored	-	0.992	*
sp_Q17RS7_GEN_HUMAN	908	Not GPI-Anchored	-	0.993	*
sp_P98177_FOXO4_HUMAN	505	Not GPI-Anchored	-	0.995	*
sp_Q01167_FOXK2_HUMAN	660	Not GPI-Anchored	-	0.989	*
sp_Q12947_FOXF2_HUMAN	444	Not GPI-Anchored	-	0.994	*
sp_Q96NZ1_FOXN4_HUMAN	517	Not GPI-Anchored	-	0.978	*
sp_Q9P0K8_FOXJ2_HUMAN	574	Not GPI-Anchored	-	0.994	*
sp_Q4V321_GAG13_HUMAN	117	Not GPI-Anchored	-	0.993	*
sp_Q9NY28_GALT8_HUMAN	637	Not GPI-Anchored	-	0.993	*
sp_Q9P2Q2_FRM4A_HUMAN	1039	Not GPI-Anchored	-	0.993	*
sp_Q8NB91_FANCB_HUMAN	859	Not GPI-Anchored	-	0.993	*
sp_Q08830_FGL1_HUMAN	312	Not GPI-Anchored	-	0.994	*
sp_Q9UNN5_FAF1_HUMAN	650	Not GPI-Anchored	-	0.995	*
sp_Q6ZNL6_FGD5_HUMAN	1462	Not GPI-Anchored	-	0.989	*
sp_Q9HCT0_FGF22_HUMAN	170	Not GPI-Anchored	-	0.922	*
sp_Q7Z6J4_FGD2_HUMAN	655	Not GPI-Anchored	-	0.986	*
sp_O14772_FPGT_HUMAN	607	Not GPI-Anchored	-	0.991	*
sp_Q8N5D6_GBGT1_HUMAN	347	Not GPI-Anchored	-	0.990	*
sp_P07195_LDHB_HUMAN	334	Not GPI-Anchored	-	0.995	*
sp_P32455_GBP1_HUMAN	592	Not GPI-Anchored	-	0.988	*
sp_P04433_KV311_HUMAN	115	Not GPI-Anchored	-	0.994	*
sp_Q13751_LAMB3_HUMAN	1172	Not GPI-Anchored	-	0.995	*
sp_P00709_LALBA_HUMAN	142	Not GPI-Anchored	-	0.995	*
sp_Q9H7X7_IFT22_HUMAN	185	Not GPI-Anchored	-	0.995	*
sp_Q14240_IF4A2_HUMAN	407	Not GPI-Anchored	-	0.992	*
sp_P20809_IL11_HUMAN	199	GPI-Anchored	165	0.250	S
sp_Q86SR1_GLT10_HUMAN	603	Not GPI-Anchored	-	0.987	*
sp_Q9UNW8_GP132_HUMAN	380	Not GPI-Anchored	-	0.988	*
sp_P04899_GNAI2_HUMAN	355	Not GPI-Anchored	-	0.994	*
sp_Q6IB77_GLYAT_HUMAN	296	Not GPI-Anchored	-	0.995	*
sp_Q9NPR9_GP108_HUMAN	543	Not GPI-Anchored	-	0.992	*
sp_P51674_GPM6A_HUMAN	278	Not GPI-Anchored	-	0.992	*
sp_Q96IJ6_GMPPA_HUMAN	420	Not GPI-Anchored	-	0.988	*
sp_I6L899_GOG8R_HUMAN	631	Not GPI-Anchored	-	0.992	*
sp_Q96PP8_GBP5_HUMAN	586	Not GPI-Anchored	-	0.992	*
sp_Q15391_P2Y14_HUMAN	338	Not GPI-Anchored	-	0.994	*
sp_Q9NZK7_PA2GE_HUMAN	142	Not GPI-Anchored	-	0.993	*
sp_Q9HC29_NOD2_HUMAN	1040	Not GPI-Anchored	-	0.990	*
sp_O43934_MFS11_HUMAN	449	Not GPI-Anchored	-	0.967	*
sp_Q8IWD5_MFS6L_HUMAN	586	Not GPI-Anchored	-	0.979	*
sp_Q9BV79_MECR_HUMAN	373	Not GPI-Anchored	-	0.993	*
sp_Q9NYZ2_MFRN1_HUMAN	338	Not GPI-Anchored	-	0.995	*
sp_O75323_NIPS2_HUMAN	286	Not GPI-Anchored	-	0.994	*
sp_O94851_MICA2_HUMAN	1957	Not GPI-Anchored	-	0.996	*
sp_Q9H204_MED28_HUMAN	178	Not GPI-Anchored	-	0.996	*
sp_O75608_LYPA1_HUMAN	230	Not GPI-Anchored	-	0.994	*
sp_P49641_MA2A2_HUMAN	1150	Not GPI-Anchored	-	0.986	*
sp_Q7L590_MCM10_HUMAN	875	Not GPI-Anchored	-	0.994	*
sp_Q6ZNC8_MBOA1_HUMAN	495	Not GPI-Anchored	-	0.990	*
sp_Q6VMQ6_MCAF1_HUMAN	1270	Not GPI-Anchored	-	0.973	*
sp_O15479_MAGB2_HUMAN	319	Not GPI-Anchored	-	0.994	*
sp_Q86SG7_LYG2_HUMAN	212	Not GPI-Anchored	-	0.995	*
sp_O95867_LY66C_HUMAN	125	GPI-Anchored	98	0.543	N
sp_Q17RY6_LY6K_HUMAN	165	GPI-Anchored	138	0.374	G
sp_A6NFX1_MFS2B_HUMAN	504	Not GPI-Anchored	-	0.982	*
sp_Q5VZR4_MF14C_HUMAN	150	Not GPI-Anchored	-	0.992	*
sp_Q9H8J5_MANS1_HUMAN	431	Not GPI-Anchored	-	0.927	*
sp_Q9Y2X0_MED16_HUMAN	877	Not GPI-Anchored	-	0.996	*
sp_Q5H8A3_NMS_HUMAN	153	Not GPI-Anchored	-	0.995	*
sp_Q00653_NFKB2_HUMAN	900	Not GPI-Anchored	-	0.995	*
sp_Q92692_NECT2_HUMAN	538	Not GPI-Anchored	-	0.985	*
sp_A6NI72_NCF1B_HUMAN	391	Not GPI-Anchored	-	0.991	*
sp_P78426_NKX61_HUMAN	367	Not GPI-Anchored	-	0.965	*
sp_O43674_NDUB5_HUMAN	189	Not GPI-Anchored	-	0.978	*
sp_Q96EH8_NEUL3_HUMAN	262	Not GPI-Anchored	-	0.976	*
sp_Q96TA1_NIBA2_HUMAN	746	Not GPI-Anchored	-	0.992	*
sp_Q86W25_NAL13_HUMAN	1043	Not GPI-Anchored	-	0.994	*
sp_Q6UY27_PATE2_HUMAN	113	Not GPI-Anchored	-	0.995	*
sp_O75081_MTG16_HUMAN	653	Not GPI-Anchored	-	0.992	*
sp_P13674_P4HA1_HUMAN	534	Not GPI-Anchored	-	0.995	*
sp_Q96LB2_MRGX1_HUMAN	322	Not GPI-Anchored	-	0.994	*
sp_P30301_MIP_HUMAN	263	Not GPI-Anchored	-	0.994	*
sp_O95140_MFN2_HUMAN	757	Not GPI-Anchored	-	0.995	*
sp_P04201_MAS_HUMAN	325	Not GPI-Anchored	-	0.995	*
sp_Q8IVH8_M4K3_HUMAN	894	Not GPI-Anchored	-	0.993	*
sp_Q96NT5_PCFT_HUMAN	459	Not GPI-Anchored	-	0.991	*
sp_Q9BWU0_NADAP_HUMAN	796	Not GPI-Anchored	-	0.995	*
sp_Q96AG4_LRC59_HUMAN	307	Not GPI-Anchored	-	0.945	*
sp_P54315_LIPR1_HUMAN	467	Not GPI-Anchored	-	0.993	*
sp_P07864_LDHC_HUMAN	332	Not GPI-Anchored	-	0.994	*
sp_Q9Y664_KPTN_HUMAN	436	Not GPI-Anchored	-	0.977	*
sp_Q9ULV4_COR1C_HUMAN	474	Not GPI-Anchored	-	0.992	*
sp_Q9P0S2_COX16_HUMAN	106	Not GPI-Anchored	-	0.996	*
sp_P22234_PUR6_HUMAN	425	Not GPI-Anchored	-	0.994	*
sp_P0DUQ1_PRA15_HUMAN	478	Not GPI-Anchored	-	0.992	*
sp_Q86Y79_PTH_HUMAN	214	Not GPI-Anchored	-	0.994	*
sp_Q9P212_PLCE1_HUMAN	2302	Not GPI-Anchored	-	0.994	*
sp_Q9BZ71_PITM3_HUMAN	974	Not GPI-Anchored	-	0.995	*
sp_Q9NUD9_PIGV_HUMAN	493	GPI-Anchored	464	0.568	C
sp_Q8TCT1_PHOP1_HUMAN	267	Not GPI-Anchored	-	0.990	*
sp_Q9NXJ5_PGPI_HUMAN	209	Not GPI-Anchored	-	0.996	*
sp_Q15645_PCH2_HUMAN	432	Not GPI-Anchored	-	0.993	*
sp_Q5VXJ0_LIPK_HUMAN	399	Not GPI-Anchored	-	0.991	*
sp_P11801_KPSH1_HUMAN	424	Not GPI-Anchored	-	0.984	*
sp_O60299_LZTS3_HUMAN	673	Not GPI-Anchored	-	0.995	*
sp_Q96KR4_LMLN_HUMAN	655	GPI-Anchored	628	0.461	S
sp_Q86YW9_MD12L_HUMAN	2145	Not GPI-Anchored	-	0.995	*
sp_A6NDZ8_MB3L4_HUMAN	208	Not GPI-Anchored	-	0.994	*
sp_Q12851_M4K2_HUMAN	820	Not GPI-Anchored	-	0.995	*
sp_P56556_NDUA6_HUMAN	128	Not GPI-Anchored	-	0.995	*
sp_Q13394_MB211_HUMAN	359	Not GPI-Anchored	-	0.995	*
sp_Q96PG1_M4A4E_HUMAN	132	Not GPI-Anchored	-	0.994	*
sp_Q9BY19_M4A8_HUMAN	250	Not GPI-Anchored	-	0.993	*
sp_Q9ULC4_MCTS1_HUMAN	181	Not GPI-Anchored	-	0.996	*
sp_O60391_NMD3B_HUMAN	1043	Not GPI-Anchored	-	0.994	*
sp_Q96PB8_LRC3B_HUMAN	259	Not GPI-Anchored	-	0.991	*
sp_Q9UK45_LSM7_HUMAN	103	Not GPI-Anchored	-	0.991	*
sp_Q9P2M1_LR2BP_HUMAN	347	Not GPI-Anchored	-	0.992	*
sp_Q99732_LITAF_HUMAN	161	Not GPI-Anchored	-	0.971	*
sp_Q96NI6_LRFN5_HUMAN	719	Not GPI-Anchored	-	0.993	*
sp_Q8IZF0_NALCN_HUMAN	1738	Not GPI-Anchored	-	0.991	*
sp_E7ERA6_RN223_HUMAN	249	Not GPI-Anchored	-	0.974	*
sp_Q86VV4_RNB3L_HUMAN	465	Not GPI-Anchored	-	0.976	*
sp_P10153_RNAS2_HUMAN	161	Not GPI-Anchored	-	0.992	*
sp_A5D8W1_CFA69_HUMAN	941	Not GPI-Anchored	-	0.996	*
sp_Q6ZQR2_CFA77_HUMAN	320	Not GPI-Anchored	-	0.996	*
sp_Q9HD87_CF050_HUMAN	102	Not GPI-Anchored	-	0.995	*
sp_Q99618_CDCA3_HUMAN	268	Not GPI-Anchored	-	0.987	*
sp_Q9NNX6_CD209_HUMAN	404	Not GPI-Anchored	-	0.993	*
sp_O96020_CCNE2_HUMAN	404	Not GPI-Anchored	-	0.996	*
sp_P17676_CEBPB_HUMAN	345	Not GPI-Anchored	-	0.992	*
sp_P49916_DNLI3_HUMAN	1009	Not GPI-Anchored	-	0.993	*
sp_Q8N1V2_CFA52_HUMAN	620	Not GPI-Anchored	-	0.986	*
sp_P53701_CCHL_HUMAN	268	Not GPI-Anchored	-	0.989	*
sp_Q96FF9_CDCA5_HUMAN	252	Not GPI-Anchored	-	0.993	*
sp_Q12798_CETN1_HUMAN	172	Not GPI-Anchored	-	0.995	*
sp_P24863_CCNC_HUMAN	283	Not GPI-Anchored	-	0.986	*
sp_Q5SZL2_CE85L_HUMAN	805	Not GPI-Anchored	-	0.995	*
sp_Q9Y232_CDYL_HUMAN	598	Not GPI-Anchored	-	0.995	*
sp_Q5I0X4_CF226_HUMAN	101	Not GPI-Anchored	-	0.993	*
sp_Q9BWU1_CDK19_HUMAN	502	Not GPI-Anchored	-	0.992	*
sp_Q86Y33_CD20B_HUMAN	519	Not GPI-Anchored	-	0.992	*
sp_Q8N1D5_CF107_HUMAN	194	Not GPI-Anchored	-	0.994	*
sp_Q5T0N1_CFA70_HUMAN	1121	Not GPI-Anchored	-	0.993	*
sp_O15480_MAGB3_HUMAN	346	Not GPI-Anchored	-	0.986	*
sp_P33991_MCM4_HUMAN	863	Not GPI-Anchored	-	0.990	*
sp_Q99608_NECD_HUMAN	321	Not GPI-Anchored	-	0.990	*
sp_Q68G74_LHX8_HUMAN	356	Not GPI-Anchored	-	0.992	*
