




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	Brain_elevated_Uniprot_CSF.txt (Homo sapiens)
Reference List:	Brain_elevated_Uniprot_filtered.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Brain_elevated_Uniprot_filtered.txt - REFLIST (2053)	Brain_elevated_Uniprot_CSF.txt (884)	Brain_elevated_Uniprot_CSF.txt (expected)	Brain_elevated_Uniprot_CSF.txt (over/under)	Brain_elevated_Uniprot_CSF.txt (fold Enrichment)	Brain_elevated_Uniprot_CSF.txt (raw P-value)	Brain_elevated_Uniprot_CSF.txt (FDR)
regulation of nucleic acid-templated transcription (GO:1903506)	280	61	120.57	-	.51	5.74E-08	7.76E-05
negative regulation of cellular biosynthetic process (GO:0031327)	139	30	59.85	-	.50	1.94E-04	2.80E-02
positive regulation of macromolecule biosynthetic process (GO:0010557)	153	31	65.88	-	.47	2.91E-05	8.15E-03
negative regulation of macromolecule biosynthetic process (GO:0010558)	134	27	57.70	-	.47	9.05E-05	1.84E-02
negative regulation of RNA biosynthetic process (GO:1902679)	120	24	51.67	-	.46	1.82E-04	2.96E-02
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	165	33	71.05	-	.46	9.03E-06	4.07E-03
negative regulation of DNA-templated transcription (GO:0045892)	120	24	51.67	-	.46	1.82E-04	2.90E-02
negative regulation of nucleic acid-templated transcription (GO:1903507)	120	24	51.67	-	.46	1.82E-04	2.85E-02
positive regulation of RNA biosynthetic process (GO:1902680)	140	26	60.28	-	.43	1.64E-05	6.33E-03
positive regulation of DNA-templated transcription (GO:0045893)	140	26	60.28	-	.43	1.64E-05	6.04E-03
positive regulation of nucleic acid-templated transcription (GO:1903508)	140	26	60.28	-	.43	1.64E-05	5.78E-03
positive regulation of RNA metabolic process (GO:0051254)	149	26	64.16	-	.41	2.32E-06	1.44E-03
regulation of transcription by RNA polymerase II (GO:0006357)	218	36	93.87	-	.38	1.17E-09	4.73E-06
positive regulation of transcription by RNA polymerase II (GO:0045944)	110	16	47.36	-	.34	3.85E-06	2.23E-03
