Entry	Mass
Q9H4B4	71,629
Q9NZM6	73,790
Q9BY49	32,544
P98160	468,830
P15735	46,442
P49585	41,731
Q9H1Q7	51,782
Q96HM7	49,727
Q9Y5K3	41,940
P16112	261,329
P36955	46,312
P52945	30,771
Q9UBV8	30,381
P0DJD8	41,976
Q99447	43,835
P0DJD7	41,977
P0DJD9	41,993
Q9HCR9	104,752
Q86TG7	80,173
P42785	55,800
Q6L8Q7	67,352
Q9GZU2	180,827
Q9UHG3	56,640
P54750	61,252
Q8NBM8	54,646
Q01064	61,380
Q14123	80,760
Q9NZQ7	33,275
Q9BQ51	30,957
Q9Y5Y4	43,268
Q13258	40,271
O00408	105,717
Q14432	124,979
Q13370	124,333
Q7Z2X4	28,272
P27815	98,143
Q9Y6V0	560,699
Q07343	83,343
Q9BUL8	24,702
Q08493	79,902
Q15154	228,544
Q08499	91,115
Q96MG8	40,675
Q9NV79	41,072
O76074	99,985
P16499	99,547
Q8WUM4	96,023
P35913	98,336
Q9UHG2	27,372
P51160	99,147
Q15116	31,647
Q6UW60	82,795
Q16342	38,592
O43924	17,420
Q53EL6	51,735
Q92824	206,942
P12004	28,769
P29122	106,420
O14737	14,285
Q16549	86,247
Q13946	55,505
O75340	21,868
Q9NP56	51,835
Q8N8D1	54,700
O60658	93,304
Q8N4E4	28,071
Q8NBP7	74,286
O95263	98,979
Q9H2J4	27,614
O76083	68,493
Q9BRP1	39,417
Q9Y233	88,412
Q8WW12	18,925
O95613	378,037
A5PLL7	31,135
Q15113	47,972
Q9UKZ9	45,717
Q58A44	10,968
P04085	24,043
P01127	27,283
Q8IVA1	14,547
Q9NRA1	39,029
P48539	6,791
Q9GZP0	42,848
P63128	123,620
P78337	34,128
P55058	54,739
Q9BX97	50,594
Q99697	35,370
O75364	31,832
Q9UIW2	211,067
O75051	211,104
A6NEE1	59,203
P51805	207,717
Q9HCM2	212,455
Q96J94	98,603
O43157	232,298
Q5SRE7	32,411
O15031	205,127
Q8TC59	109,849
Q9ULL4	206,847
Q7Z3Z3	101,089
Q7Z3Z4	96,589
O60240	55,990
O60486	175,742
Q92561	37,573
Q99541	48,075
Q8NG27	71,002
Q9Y4D7	212,007
O43164	78,214
O60664	47,075
Q96Q06	134,431
Q0ZLH3	39,913
Q00G26	50,791
Q9NWT1	43,964
Q8TDX9	315,435
Q7Z442	272,514
Q7Z443	195,894
P53350	68,255
O43692	29,065
Q6UXB8	49,471
Q9NYY3	78,237
P43119	40,956
Q99570	153,103
Q8WYR1	97,348
Q8NEB9	101,549
Q5UE93	84,258
P48426	46,225
O00444	108,972
P42336	124,284
P78356	47,378
Q96NK8	38,705
Q5T2W1	57,129
Q8WTT2	92,548
Q496M5	36,329
P42338	122,762
Q8TBX8	47,300
Q9Y342	19,987
O43678	10,922
O00483	9,370
Q9ULU4	131,692
Q16718	13,459
P08473	85,514
Q92786	83,203
Q9UM63	50,819
Q5K4E3	91,955
Q9UKY0	20,293
Q86WR7	45,802
Q9BQR3	31,940
O95428	137,700
Q6ZRP0	27,805
Q14914	35,870
O15067	144,734
Q13308	118,392
O00231	47,464
P28065	23,264
Q96QB1	170,591
A6NLU0	32,238
P0C7M4	31,637
Q4ADV7	159,301
P10745	135,363
O75570	52,306
Q8NC24	32,405
Q9GZR2	46,672
Q92963	25,145
Q3KNW1	32,474
P62244	14,840
Q5JNZ5	13,002
P41440	64,868
Q9Y2C5	54,055
O95136	38,867
Q5BJH2	18,822
A7XYQ1	92,658
Q13425	57,950
Q86V20	93,705
Q969G3	46,649
P02788	78,182
O60902	34,953
O75159	61,246
O43508	27,216
Q9NWH2	14,758
Q5VVB8	14,657
Q9BVK8	25,261
Q8N4B1	27,215
P50454	46,441
O15047	186,034
O94964	159,760
O43166	200,029
O95347	135,656
Q92186	42,430
P02549	280,014
Q8WWL2	79,671
Q96FJ0	49,783
Q9UGK3	44,894
Q9UIV8	44,276
Q9BWV2	28,740
Q9BUA3	41,037
Q9C0K7	47,026
A6NGW2	192,437
Q9Y6A9	18,298
Q9UPE1	62,014
Q8TDD2	44,994
Q8IX01	120,207
B3KS81	80,355
P10124	17,652
Q9UGK8	48,981
Q5VTQ0	76,956
Q7Z6B7	124,264
Q14714	26,618
P62079	30,337
P30874	41,333
P08842	65,492
P46977	80,530
Q86XZ4	59,545
P43308	20,135
Q658P3	54,601
Q99909	21,697
P0CL84	15,630
Q9NRP7	143,995
P16949	17,303
Q86TL2	33,187
Q6UWL2	82,710
Q9Y2K6	102,003
O75795	61,095
Q5ST30	118,490
P19320	81,276
P15313	56,833
P21281	56,501
Q9H320	22,289
P37288	46,800
Q9H322	14,661
Q9H321	26,878
Q9NNX9	20,020
O14598	12,917
O14599	12,063
P47901	46,971
P21796	30,773
P45880	31,567
Q2YD98	80,591
Q68CQ4	87,055
Q9Y277	30,659
P30518	40,279
Q969X6	76,890
P21283	43,942
Q8NEY4	48,759
Q9NYH9	70,194
Q8NBZ7	47,577
P61421	40,329
Q8N8Y2	40,426
Q765I0	13,749
P11473	48,289
P46939	394,466
O95399	14,296
O14607	149,548
P07911	69,761
Q9Y5K8	28,263
Q9P2Y5	78,151
Q9BTM9	11,380
P36543	26,145
Q96A05	26,074
P00749	48,523
Q9UBK9	18,246
Q5DID0	144,294
Q16864	13,370
Q9P0L0	27,893
Q86UX7	75,953
O75348	13,758
O95670	13,604
O95292	27,228
Q96LB4	13,917
Q9UI12	55,883
Q5W0Q7	120,440
Q52LC2	25,310
Q15904	52,026
Q9Y2C2	47,673
Q7L8A9	40,957
O60291	60,753
Q9BTT4	15,688
O43513	27,245
A8MW99	44,024
O75095	161,185
Q9UL63	84,768
Q96G30	23,548
Q2M3A8	16,456
Q9H488	43,956
Q14168	64,581
Q96T58	402,248
Q9H2W2	24,659
Q96ER9	45,811
Q8TD10	51,537
Q8IVT2	75,357
Q99102	542,307
Q9Y216	75,833
Q9NYA4	133,353
Q9NXD2	88,273
Q68CQ1	145,647
P49959	80,593
Q96AQ6	80,643
Q8N565	24,927
Q9Y3B8	26,833
Q6P444	43,384
Q9UI43	27,424
Q02962	44,706
Q9Y623	223,071
P20929	772,914
Q16621	41,473
Q9Y5A7	70,538
Q14249	32,620
Q86UY8	63,420
Q12980	63,605
Q5VT03	86,276
P0C025	35,923
P51513	51,727
Q6S8J3	121,363
O96001	17,866
A5A3E0	121,445
Q9ULR3	56,448
Q7Z3G6	95,615
Q6S5H5	57,096
Q6S545	60,965
Q6NYC8	67,943
Q99457	57,593
Q9NZP6	120,954
Q86U38	69,438
Q99742	62,702
Q9HDB5	69,305
P29475	160,970
E5RHQ5	129,208
Q92617	116,847
Q8NGP4	35,156
Q8NGY3	37,352
O95007	35,299
Q99466	209,622
O15243	14,254
P29803	42,933
Q6ZMI0	88,314
Q9UHM6	52,635
Q6IFN5	38,279
Q6IF36	33,950
Q8NGI2	36,080
Q8NGX5	35,079
O15294	116,925
P0DN82	35,330
Q9UKS6	48,487
P40424	46,626
Q9ULW8	74,743
Q8IVL5	80,984
Q96KW2	109,912
Q8N7R1	31,848
P09131	50,333
Q8IVL6	81,837
Q8IXS6	42,185
O15460	60,902
Q7Z4N8	61,126
P23760	52,968
A8MW92	115,010
Q8N3R9	77,294
P0CB38	41,854
O43422	87,704
Q6NUJ5	63,967
Q15070	48,548
P35558	69,195
Q9Y5G4	101,687
Q99489	37,535
Q9Y5F8	100,974
Q9Y5G2	100,875
Q96RQ9	62,881
Q9UNK4	16,546
O00264	21,671
P22079	80,288
P05164	83,869
Q9UN70	101,077
Q9BWF3	40,314
P61106	23,897
P52756	92,154
P59190	24,391
Q9H0T7	23,491
P78332	128,644
P21810	41,654
Q9Y580	30,504
Q9NP72	22,977
A4D1S5	24,400
Q9Y5S9	19,889
P29558	44,505
P62820	22,678
Q15434	43,959
Q6XE24	47,840
Q9Y388	37,336
Q9H0U4	22,171
Q92928	22,017
Q9NX57	26,277
Q9H1K0	88,870
Q70E73	135,256
Q9UL25	24,348
Q13702	46,328
Q9ULC3	26,659
P61574	11,920
Q7Z4M0	29,155
Q969Q5	23,124
P57735	23,496
P61576	11,735
P51157	24,841
P61578	11,808
P61572	11,828
P61571	11,722
P61019	23,546
Q6VN20	67,257
O95072	62,614
Q15771	23,058
Q9H2T7	124,375
Q13636	21,569
P61573	11,828
B7ZAP0	29,038
P23219	68,686
Q15311	76,063
Q9BZG1	29,044
Q7Z419	33,697
Q16654	46,469
Q8N0T1	11,456
P20337	24,758
Q92930	23,584
Q96E17	25,952
O95716	24,267
C9J798	90,406
Q5JT25	25,038
Q93062	21,802
Q8N4Z0	24,133
Q9HBH5	36,865
P20936	116,403
Q86YS6	23,339
O75452	35,673
Q7Z6P3	110,850
Q15283	96,614
Q6ZRY4	22,497
Q15276	99,290
P20338	24,390
Q14644	95,699
Q9H5N1	63,543
P61018	23,587
Q9Y272	31,642
Q7Z6M1	40,565
Q8IZ41	82,879
P20339	23,659
Q92781	34,979
Q7Z444	25,287
Q9NS23	39,219
Q9NYR8	33,755
P61020	23,707
Q8N3Y7	34,095
P50749	37,790
Q5HYI8	26,423
Q86WH2	27,562
P51148	23,483
Q9H2L5	36,748
Q3YEC7	79,549
P20340	23,593
Q8WWW0	47,090
Q6ZTQ3	43,384
P29762	15,566
Q9NRW1	23,462
Q02833	39,945
Q9H0N0	28,355
Q8NHQ8	48,327
Q53S08	28,242
O75901	50,021
P29373	15,693
Q8NG50	31,970
A6NK89	56,900
P51149	23,490
Q9UJ41	56,891
Q96AH8	22,511
P01112	21,298
P25791	18,358
P01116	21,656
P62877	12,274
O95294	90,016
P63000	21,450
O43374	90,458
Q9UBF6	12,683
P0DJD3	55,784
Q86YV0	111,898
A6NDE4	55,835
P0DJD4	55,784
P0C7P1	55,775
Q9NYN1	29,662
A6NEQ0	55,759
Q15415	55,728
O14807	23,846
P15153	21,429
P06400	106,159
P01111	21,229
P60763	21,379
Q01851	42,697
Q7Z5A4	32,006
A4D1T9	26,445
P43686	47,366
A8MZF0	35,187
Q9UKA9	57,491
P86496	23,262
P25105	39,203
P38159	42,332
Q69383	11,828
Q96NR8	35,094
P51151	22,838
Q96QF0	53,021
Q9UBG7	56,751
Q8NBN7	35,932
Q7Z7A4	64,950
Q9UNT1	26,101
Q6ZP01	118,116
Q8TCX5	73,590
Q9NSD7	51,124
P35244	13,569
Q9GZM3	13,088
O75916	76,966
Q9H1A7	13,092
F8VTS6	32,249
Q8NHV9	20,542
Q8WVD5	25,535
Q96MT1	75,617
P24928	217,176
P19474	54,170
Q9NTX7	38,950
P10155	60,671
Q9H310	49,481
P09651	38,747
Q96D71	86,662
A6NKT7	197,487
P02753	23,010
Q96L21	24,519
Q13671	84,099
P27635	24,577
P18077	12,538
O43567	42,814
Q7L0R7	47,728
Q9H0F5	57,595
Q7Z7F7	15,128
Q96LD8	24,107
Q92766	181,420
P04844	69,284
P62854	13,015
Q15527	29,618
Q8WXH0	796,442
Q9Y6J9	67,814
Q6ZMZ3	112,216
Q8N205	43,512
O15061	172,868
P49848	72,668
Q9H7V2	28,551
O43426	173,103
P54136	75,379
Q5H9L4	52,588
O15056	165,538
Q96I59	54,090
Q15545	40,259
Q5T160	65,505
Q7Z7C8	34,262
Q9HBM6	27,622
Q6XYQ8	59,127
Q16594	28,974
Q9BT88	48,297
Q7Z5A9	14,901
Q8IV01	46,537
Q8N3H0	14,620
Q7L8C5	46,885
Q7Z5A8	14,776
Q96LR4	15,682
Q8NB59	62,287
Q9BQS2	47,375
Q7Z5A7	14,301
Q17RD7	72,274
Q9BSW7	53,849
P21579	47,573
Q8N103	80,703
Q8N9I0	46,872
Q9BQG1	63,304
Q9H2B2	47,958
O00445	42,900
Q5T7P8	57,325
P54577	59,143
O43581	45,501
P37802	22,391
Q8NBV8	44,138
Q9Y2Z4	53,199
Q86SS6	56,188
Q9NYW5	33,841
A2RTX5	92,646
Q9NYW4	34,505
Q9NYW3	36,550
P26639	83,435
Q9NYW2	35,877
Q9NYW1	35,611
P21731	37,431
Q8IYJ3	61,857
Q9HCH5	104,930
Q9Y3F1	6,535
Q4VX76	68,560
Q96C24	76,024
Q8TDW5	81,523
Q9BW92	81,036
Q9H987	102,481
Q96RJ0	39,092
Q9P1P5	40,134
P48775	47,872
Q9P1P4	39,065
O14804	38,242
Q96RI8	38,451
Q969N4	38,029
Q96RI9	39,016
P08247	33,845
Q15750	54,644
Q16563	28,565
Q5VXT5	30,156
Q5JRV8	38,449
Q9NYJ8	76,494
Q7L3T8	53,263
Q8WV15	34,609
Q8N5C8	78,653
Q8N9U0	55,284
P52657	12,457
Q9BXJ8	40,610
O75410	87,794
Q9UI15	22,473
O95359	309,427
Q71SY5	78,171
Q16674	14,509
Q75NE6	8,163
P53778	41,940
P04731	6,120
Q9UKN1	558,164
Q9Y217	71,968
Q9C0I1	86,148
P42898	74,597
O95255	164,906
Q9BT17	37,237
Q99551	45,778
Q15746	210,715
P05976	21,145
O95178	12,058
P01185	17,325
A6NCS4	32,121
Q5QGS0	167,551
P40205	11,733
Q8NFF2	69,042
Q9H093	69,612
Q8NGS8	35,796
Q9GZU5	52,000
Q9NRJ5	71,813
O00623	40,797
Q96FX8	21,386
Q9UKI9	47,432
Q9H3S5	49,460
Q8WVV4	68,065
Q15319	37,052
O95427	105,810
A5PKW4	109,543
P18031	49,967
P10586	212,879
P61586	21,768
Q02094	44,198
P0C7P2	11,739
Q52LW3	142,064
Q6P4F7	113,866
P84095	21,309
Q9UJD0	32,796
O14730	59,093
P40429	23,577
Q9Y6S9	60,036
Q9NVC3	49,966
Q99624	55,773
O94885	136,653
Q6UVJ0	74,397
Q9NP94	32,742
O00767	41,523
Q8IX30	109,282
Q96FV2	46,597
Q8WTV0	60,878
Q8N5S1	40,795
Q92503	81,250
Q5K4L6	73,550
Q8TE54	72,213
Q8TBE7	46,422
P35542	14,747
Q96ER3	53,558
Q9Y289	68,642
Q8N3G9	48,329
Q9BVV7	28,202
C9JQI7	76,453
Q9Y5X2	52,569
Q8NDV3	143,908
Q8WYJ6	42,386
Q15465	49,607
Q14141	49,717
P51532	184,646
Q9NSN8	57,969
Q9NRX5	50,495
A0MZ66	71,640
Q5VXU9	165,202
Q8TEV9	105,022
Q9NQF3	22,471
Q8NBT3	55,534
P35713	40,891
P62318	13,916
O94993	81,854
P0CF51	19,804
Q9HC62	67,855
Q9UPS6	212,803
Q9UPR3	113,928
Q8TEQ0	91,254
Q8N614	34,323
P0C7T8	23,522
Q99747	34,746
O15466	43,895
Q9C0A6	157,515
O75094	167,713
Q2NKQ1	129,718
P84022	48,081
Q9Y6H5	100,409
Q9BRG2	63,093
P0DP57	10,160
Q6UW10	8,396
O95562	17,779
Q9H9B4	35,619
Q5PRF9	75,483
P60896	8,278
P0DSE2	34,792
Q9NZC9	105,938
Q12824	44,141
Q8TD22	37,124
Q6P4A7	37,998
Q9H3S1	83,574
Q9H5K3	40,050
Q9BQI6	121,050
Q9C0C4	92,623
Q9UJC5	12,326
A8K8P3	147,664
O95754	83,511
O43761	24,555
Q96HL8	37,148
Q8NFY4	119,872
Q9Y566	224,959
Q96PX8	77,735
P04278	43,779
Q8ND04	109,684
Q92922	122,867
Q9H0W8	57,651
Q9BTD1	13,317
Q92529	64,056
Q96QR1	10,100
Q9NYZ4	54,042
Q13309	47,761
Q8N816	27,975
Q9Y336	50,082
Q92765	36,254
Q92925	58,921
Q96LD4	69,532
Q9NQ34	22,531
Q8IWZ4	26,409
O94876	72,083
P0CI25	52,888
Q6Q0C0	74,609
O75069	77,449
Q9UJW2	54,605
Q9ULS5	53,785
Q86XT4	54,728
Q9GZM7	52,387
Q9BSJ1	52,285
A0A2R8Y7D0	13,788
Q96A61	34,653
Q9UM00	27,079
Q9BWF2	53,294
Q9BYV2	40,301
Q7Z6W1	20,071
Q9BSI4	50,023
Q6UWJ1	75,598
Q9BYV6	60,466
Q5TGY1	67,910
Q9UPV9	106,040
Q96DC7	54,442
Q9BRZ2	81,488
O60296	101,419
Q8NG06	54,766
P0DPE3	33,577
Q13445	25,206
Q8IWR1	47,114
Q15629	43,072
P40238	71,245
P40225	37,823
Q15035	43,328
Q15363	22,761
Q9Y3Q3	24,777
Q7Z7H5	25,943
O14773	61,248
Q12931	80,110
P28289	40,569
Q495X7	55,114
Q9Y3A6	26,005
Q9NZR1	39,595
Q5EBN2	24,047
Q9BVG3	54,268
Q8WW62	27,631
Q9NYL9	39,595
Q9Y3B3	25,172
Q969Q1	40,248
Q6PL24	35,740
Q9NZQ9	39,335
P29144	138,350
Q96A98	11,202
Q9BVK6	27,277
A6NGJ6	51,566
Q6PJ69	57,353
P0DSE1	29,608
P0DTU3	30,989
O15016	134,663
Q6ZTA4	83,823
Q9Y5R8	16,832
Q6PIZ9	21,211
Q6AZZ1	56,259
Q6ZT21	49,453
Q86WT6	57,419
O15393	53,859
P49755	24,976
O43617	20,274
Q9BVW5	34,555
Q6ZMU5	52,731
P57727	49,405
Q9Y296	24,340
Q9NRS4	48,246
Q86UV7	28,517
Q8TB96	68,108
Q9P0T7	20,574
Q7RTY8	94,415
P82094	122,842
Q7Z410	114,021
Q96RU8	41,009
Q86WS5	38,605
O14668	24,947
Q9BYE2	63,167
Q92519	38,801
O14669	22,393
Q9BZD7	25,875
Q9BZD6	25,403
Q8NEW7	17,241
Q96RU7	39,578
Q6UXZ0	29,185
Q5SRD1	19,670
Q96BF3	30,675
P0DMS9	30,327
Q7L0X0	88,723
P31483	42,963
P58753	23,883
O95411	12,414
Q8IUR5	98,847
Q9NVH6	49,518
Q13009	177,508
Q9UJV3	83,210
Q8N394	94,130
Q8IVF5	190,103
Q9BRJ7	23,338
P17152	21,541
Q9C040	81,530
Q01085	41,591
Q6ZXV5	104,009
Q86X19	23,046
Q5T4D3	82,991
O75382	80,830
Q9BVT8	26,261
Q9C037	57,461
Q71RG4	33,788
Q07352	36,314
Q86V40	57,676
Q08629	49,124
Q9C035	56,338
Q92563	46,779
A6NFA1	57,421
Q9BQ16	49,429
Q9NP77	22,574
P47974	51,063
A6NLX3	27,806
A6NIY4	47,997
Q7Z2Z1	210,857
P0CI01	48,330
O95238	37,518
Q96EA4	70,172
Q5MJ10	19,917
Q9BUD6	35,788
O14818	27,887
Q6UWY2	30,334
Q70Z35	182,622
Q96A99	52,339
Q9NZH4	22,064
Q6UX71	59,583
Q6ZSC3	40,666
Q9BTD8	50,414
Q03395	37,205
Q99729	36,225
Q8NC44	57,830
O43665	21,210
Q9NS39	80,621
Q8IUF8	52,800
P78346	29,321
Q96K30	28,619
P62750	17,695
Q02543	20,762
Q2MKA7	28,959
Q6UXX9	28,315
Q9BXY4	30,929
Q2I0M5	26,171
Q96DX4	64,180
Q15404	31,540
Q7L4I2	50,560
Q9BUV0	33,613
Q9Y3I0	55,210
Q96IZ7	38,677
Q9Y265	50,228
Q9HA92	48,714
Q8WXG1	42,170
Q5VWQ0	90,072
Q6PCB5	94,870
P82664	22,999
Q9Y230	51,157
P82912	20,616
O15235	15,173
O60783	15,139
P09234	17,394
P82914	29,842
Q9Y399	33,249
Q92681	66,790
Q9Y3D3	15,345
Q9Y2R5	14,502
P82675	48,006
Q9NVS2	22,184
P09661	28,416
Q9Y676	29,396
P82932	14,227
Q9Y3D5	15,850
P82933	45,835
P08579	25,486
Q9Y2R9	28,134
Q66K80	24,494
P82921	10,689
Q9NZ71	133,683
P82650	41,280
Q9Y3D9	21,771
Q92541	80,313
Q92622	108,622
Q9BY42	33,887
Q96EL2	19,015
P82663	20,116
Q8IZC4	69,304
Q9BST9	62,667
A6NKG5	155,048
Q9BYN8	24,212
Q96T51	79,818
Q8N8U3	52,817
Q8WXA3	70,010
Q92552	47,611
Q6ZR62	34,685
Q7L099	52,965
Q5HYW3	64,711
Q6ICC9	26,154
Q6ZNE9	64,350
Q9Y2Q9	20,843
Q9BWD3	13,188
Q17RB0	13,246
A6ZKI3	13,171
Q8NET4	144,280
P51398	45,566
Q9NP92	50,365
Q16799	83,618
Q59EK9	49,747
Q92665	45,318
O95197	112,611
Q01196	48,737
O75298	59,264
Q96NL0	52,813
Q96C34	67,643
Q9Y291	12,629
P82930	25,650
P82673	36,844
Q9BZR6	50,708
Q13950	56,648
Q6UXB3	13,115
Q15233	54,232
A8MVU1	41,851
P21452	44,442
Q76FK4	131,616
Q16236	67,827
Q15270	44,012
Q6PIU2	45,808
O00712	47,442
Q9C000	165,866
Q9BSD7	20,713
Q9UKK6	15,847
Q9HC10	226,753
Q9Y2J8	75,564
Q6ZRI0	314,794
Q9BSG0	21,042
Q9BZF2	95,432
Q9H1P3	55,201
O14683	21,054
Q9Y5G7	100,871
P01298	10,445
Q6P4D5	22,522
O00254	42,508
C9JE40	61,464
Q96RI0	41,133
Q9NVD7	42,244
Q9NZ20	57,167
Q9Y619	32,736
P28328	34,843
Q92696	65,072
P50876	32,890
Q15120	46,939
Q02809	83,550
O60568	84,785
Q969W9	31,609
Q9H7P9	147,969
O60733	89,903
Q99946	31,430
P60900	27,399
Q96HE9	40,085
P62195	45,626
Q8WWY3	55,456
Q9UI14	20,648
O95171	77,552
Q8NBW4	63,776
P0C264	38,488
Q96H72	39,011
Q9BV35	52,378
Q9Y666	119,106
Q8TBP6	38,125
Q8WUT9	37,718
Q9NSI8	41,708
O00422	17,561
Q5K651	184,281
P53992	118,325
Q8N755	22,575
Q2M3R5	39,836
Q8IY18	128,806
Q9NR46	43,974
O15524	23,551
Q9Y371	40,796
O75533	145,830
Q2M3G4	90,786
Q13573	61,494
P57768	39,167
O43557	26,350
B4DS77	46,925
A6NL88	56,214
Q7Z614	36,178
Q9Y617	40,423
Q9Y6P5	56,557
Q9P0U3	73,481
Q9BQF6	119,658
O60613	18,092
Q11206	38,045
P01242	25,000
A8MWV9	15,007
Q96T68	81,894
Q92187	41,295
Q9H2G2	142,695
O60880	14,187
Q7KZF4	101,997
P55000	11,186
O95391	68,387
P32971	26,017
Q8TER0	152,204
Q9UQQ2	63,225
P19429	24,008
P0DKB5	40,400
P35247	37,728
Q9BSF0	10,970
Q0VAQ4	10,679
Q99985	85,207
Q13641	46,032
Q96B97	73,126
O15321	68,861
Q9H4F8	48,163
Q9NXH8	46,914
Q96H20	28,864
P03973	14,326
O75326	74,824
Q9HBX3	12,922
P01286	12,447
Q92544	74,519
P02814	8,188
B7Z8K6	17,085
Q8IW52	94,331
Q7Z6J9	58,819
Q9GZT3	12,349
P63208	18,658
Q14563	88,889
Q5VYV7	45,552
Q15388	16,298
Q9BVC6	26,210
Q8IYM9	56,947
P57088	27,978
P28908	63,747
Q9Y2W1	108,666
Q8WWA1	25,495
P36406	64,067
Q07011	27,899
Q96CP7	28,548
Q8TBZ6	39,719
Q69YG0	16,991
A6NGC4	28,733
Q309B1	40,306
Q6PF06	36,124
Q96MV1	30,041
Q9NS69	15,522
Q63HR2	152,580
Q9BTV4	44,876
Q969Z4	46,092
Q14258	70,973
Q8N609	42,162
Q6ZRR5	27,859
Q2T9K0	52,201
Q12899	62,166
Q7Z2V1	23,111
Q15785	34,559
Q9BQJ4	19,998
C9J1S8	52,496
Q8NDY8	22,122
A0A3B3IT33	53,047
A6NMA1	12,326
A6NI03	51,557
Q96PL1	10,161
P98077	61,916
O75556	10,884
Q9NP50	24,852
A6NKU9	63,895
Q13243	31,264
Q9HCB6	90,973
Q16629	27,367
Q9BXB7	65,263
Q8N9U9	13,254
Q9NRA0	69,217
Q96L03	43,499
Q8TCT8	58,143
Q9NUC0	39,348
Q8IUH8	74,503
Q9BR10	23,834
P21549	43,010
P35325	7,975
P22532	7,905
P22528	9,888
Q9BSE5	37,660
Q9H741	23,594
Q7KZ85	199,073
O43278	58,398
Q6UDR6	11,421
A0A1B0GUW6	128,649
P61011	55,705
Q5W111	21,666
P23327	80,244
P51649	57,215
Q9NQE7	55,049
Q9NQA5	82,551
Q9UJT2	65,050
Q9H489	39,573
A1L157	28,245
Q9H0U9	49,192
O95859	35,383
Q9Y4A5	437,600
Q9H2G4	79,435
O95857	22,147
Q8N831	45,874
O95858	33,165
Q9UH36	38,573
O95772	26,655
Q96KW9	21,466
Q9ULQ0	95,360
O95210	39,007
Q99932	51,139
